SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0000000000000002
0,1,undirected,0.9468119024018186
0,2,undirected,0.9503887500392229
0,3,undirected,0.9944389117104822
0,4,undirected,0.9653531051414912
0,5,undirected,0.9262844039609288
0,6,undirected,0.965152625717476
0,7,undirected,0.9813499891696174
0,8,undirected,0.7177405813048208
0,9,undirected,0.9634215612766708
0,10,undirected,0.9774747732273016
0,11,undirected,0.7289963190398564
0,12,undirected,0.9336617139933012
0,13,undirected,0.9802675638746524
0,14,undirected,0.9317675735144556
0,15,undirected,0.9727990405739504
0,16,undirected,0.9758478008326044
0,17,undirected,0.9866761356516004
0,18,undirected,0.9663708137657386
0,19,undirected,0.9836847703871048
0,20,undirected,0.965737164488477
0,21,undirected,0.9572875883066928
0,22,undirected,0.9940675728496496
0,23,undirected,0.9500631710169074
0,24,undirected,0.9632647699099584
0,25,undirected,0.9651773639362522
0,26,undirected,0.9478828054265712
0,27,undirected,0.9381698475709518
0,28,undirected,0.8840525125031942
0,29,undirected,0.9912912888148352
0,30,undirected,0.994516444245992
1,1,undirected,1.0000000000000002
1,2,undirected,0.8613483551415969
1,3,undirected,0.937843926313411
1,4,undirected,0.9687595614840062
1,5,undirected,0.8003490653906612
1,6,undirected,0.914611491662356
1,7,undirected,0.9749922200273492
1,8,undirected,0.5435251078646853
1,9,undirected,0.9508393755907648
1,10,undirected,0.9568956582206862
1,11,undirected,0.55261801971765
1,12,undirected,0.8118510283525333
1,13,undirected,0.9742226450341428
1,14,undirected,0.8293148097072259
1,15,undirected,0.9682175152149152
1,16,undirected,0.9477963349001912
1,17,undirected,0.9293197606167688
1,18,undirected,0.9256426903597303
1,19,undirected,0.9771187968040826
1,20,undirected,0.9151138088884828
1,21,undirected,0.9073845295105512
1,22,undirected,0.9385320599486142
1,23,undirected,0.85343708751473
1,24,undirected,0.98355290473511
1,25,undirected,0.9864678032823102
1,26,undirected,0.8579875354146147
1,27,undirected,0.994646899042331
1,28,undirected,0.957531426805931
1,29,undirected,0.9297677132319084
1,30,undirected,0.9479732206600376
2,2,undirected,1.0
2,3,undirected,0.9726159763773378
2,4,undirected,0.8464070493125946
2,5,undirected,0.9856784483582768
2,6,undirected,0.9866253062524812
2,7,undirected,0.9297801166232296
2,8,undirected,0.7782408642099541
2,9,undirected,0.9504156954723876
2,10,undirected,0.8683657311493506
2,11,undirected,0.7906700442198343
2,12,undirected,0.9896936126962728
2,13,undirected,0.9155050591947418
2,14,undirected,0.9833329540940244
2,15,undirected,0.8644735410547826
2,16,undirected,0.960675168568078
2,17,undirected,0.9816392578450236
2,18,undirected,0.9825931345703434
2,19,undirected,0.8952397433401629
2,20,undirected,0.9779044380759644
2,21,undirected,0.9896056948489566
2,22,undirected,0.9727213320647758
2,23,undirected,0.9981522442456272
2,24,undirected,0.9048535084717154
2,25,undirected,0.878229282361257
2,26,undirected,0.9959787402264072
2,27,undirected,0.8299342228040225
2,28,undirected,0.820980227743649
2,29,undirected,0.9808766604697052
2,30,undirected,0.9687383486383304
3,3,undirected,1.0
3,4,undirected,0.9405417258722064
3,5,undirected,0.9427822325111525
3,6,undirected,0.9868117767230168
3,7,undirected,0.9843511281086712
3,8,undirected,0.7155984939068382
3,9,undirected,0.980804675714624
3,10,undirected,0.9519457871521574
3,11,undirected,0.7277383051961679
3,12,undirected,0.950522652278518
3,13,undirected,0.980292360525733
3,14,undirected,0.9448648980806764
3,15,undirected,0.9513436413326148
3,16,undirected,0.9899108298289174
3,17,undirected,0.9978619090438348
3,18,undirected,0.9864390357963264
3,19,undirected,0.9718631918160028
3,20,undirected,0.9871454501181576
3,21,undirected,0.9804911972116838
3,22,undirected,0.9990909257153064
3,23,undirected,0.969086313844182
3,24,undirected,0.9660573392919698
3,25,undirected,0.9556570539819172
3,26,undirected,0.972749637740408
3,27,undirected,0.9221664198342414
3,28,undirected,0.8880599884970914
3,29,undirected,0.997061128108433
3,30,undirected,0.9987385194686802
4,4,undirected,1.0
4,5,undirected,0.8055760871225267
4,6,undirected,0.8878533131049312
4,7,undirected,0.9638067177506828
4,8,undirected,0.5830973609491055
4,9,undirected,0.9170057422568206
4,10,undirected,0.994303524067376
4,11,undirected,0.5915664423106735
4,12,undirected,0.8167683075526526
4,13,undirected,0.968276329727402
4,14,undirected,0.8294762368157594
4,15,undirected,0.9984335141346627
4,16,undirected,0.9282051203750452
4,17,undirected,0.9242067504409038
4,18,undirected,0.8976793246061239
4,19,undirected,0.9912202430679276
4,20,undirected,0.8910449943917862
4,21,undirected,0.8754670973635861
4,22,undirected,0.9422098687587688
4,23,undirected,0.843492983844792
4,24,undirected,0.9573533494174524
4,25,undirected,0.9834589679301248
4,26,undirected,0.840771372896783
4,27,undirected,0.9802088491444716
4,28,undirected,0.8939791420485186
4,29,undirected,0.9301036407235076
4,30,undirected,0.9465267308329236
5,5,undirected,1.0000000000000002
5,6,undirected,0.9473526710770424
5,7,undirected,0.8745035892614079
5,8,undirected,0.8561583755664847
5,9,undirected,0.8915102223852995
5,10,undirected,0.8423048182961577
5,11,undirected,0.8680215904094634
5,12,undirected,0.9993693062708824
5,13,undirected,0.859934450757862
5,14,undirected,0.9924229162177612
5,15,undirected,0.8243644952534841
5,16,undirected,0.9090827237600806
5,17,undirected,0.9491171354600968
5,18,undirected,0.9402048588272904
5,19,undirected,0.8482169672992598
5,20,undirected,0.93433882635009
5,21,undirected,0.9533674662646447
5,22,undirected,0.9431530659547838
5,23,undirected,0.992727388482976
5,24,undirected,0.8412801498785883
5,25,undirected,0.8197080509503331
5,26,undirected,0.977064342796856
5,27,undirected,0.7663977496735059
5,28,undirected,0.7466767898736238
5,29,undirected,0.9588956641636576
5,30,undirected,0.9369189498836592
6,6,undirected,1.0
6,7,undirected,0.9707881991699072
6,8,undirected,0.6957424290686652
6,9,undirected,0.987767386779094
6,10,undirected,0.8963093397277776
6,11,undirected,0.708272411610425
6,12,undirected,0.9554664657758148
6,13,undirected,0.9602359951631616
6,14,undirected,0.9494137521454188
6,15,undirected,0.9030612260936854
6,16,undirected,0.9913562219070748
6,17,undirected,0.9941713729174756
6,18,undirected,0.9990068603717652
6,19,undirected,0.9362104057155958
6,20,undirected,0.9973625921637294
6,21,undirected,0.9981153296547692
6,22,undirected,0.9861239759721502
6,23,undirected,0.9780443030945328
6,24,undirected,0.9545596596598238
6,25,undirected,0.927992921783679
6,26,undirected,0.9877637915153216
6,27,undirected,0.8885580288601106
6,28,undirected,0.8831565404461467
6,29,undirected,0.986193598531808
6,30,undirected,0.9853967463142866
7,7,undirected,0.9999999999999998
7,8,undirected,0.6066303683213616
7,9,undirected,0.9896061433118024
7,10,undirected,0.9587768884074336
7,11,undirected,0.6177281992697843
7,12,undirected,0.8863325412645697
7,13,undirected,0.9977825982790982
7,14,undirected,0.8874320312646015
7,15,undirected,0.9707335965431174
7,16,undirected,0.9921515590087508
7,17,undirected,0.9812220076290152
7,18,undirected,0.97577480922456
7,19,undirected,0.9897650208843656
7,20,undirected,0.9743893634779706
7,21,undirected,0.961610027914056
7,22,undirected,0.9840245144902928
7,23,undirected,0.9193447495654672
7,24,undirected,0.992785842894888
7,25,undirected,0.98692831342696
7,26,undirected,0.931587853640532
7,27,undirected,0.966768357551609
7,28,undirected,0.9315394844315704
7,29,undirected,0.9743245855788988
7,30,undirected,0.9873595731019554
8,8,undirected,0.9999999999999998
8,9,undirected,0.6081748564281586
8,10,undirected,0.6532022137853764
8,11,undirected,0.9994015881597952
8,12,undirected,0.8418729382891984
8,13,undirected,0.5939254549394214
8,14,undirected,0.8488882696562868
8,15,undirected,0.6036139965659371
8,16,undirected,0.6405667082185439
8,17,undirected,0.7164633799945863
8,18,undirected,0.6862858949817006
8,19,undirected,0.603435782081121
8,20,undirected,0.6673193718544842
8,21,undirected,0.7163536461763229
8,22,undirected,0.7191611214632952
8,23,undirected,0.8012578548653432
8,24,undirected,0.5662149705879569
8,25,undirected,0.567704881523301
8,26,undirected,0.7569934580486571
8,27,undirected,0.498478802296386
8,28,undirected,0.4571706326687939
8,29,undirected,0.7578579365723326
8,30,undirected,0.7183850822378589
9,9,undirected,1.0
9,10,undirected,0.9132924980355452
9,11,undirected,0.6208377132302912
9,12,undirected,0.9028766919924808
9,13,undirected,0.9848308356499392
9,14,undirected,0.8974695731044628
9,15,undirected,0.9281565123997354
9,16,undirected,0.9972587760414452
9,17,undirected,0.9842666118579476
9,18,undirected,0.9895635666778656
9,19,undirected,0.9599371092241468
9,20,undirected,0.9914107565779072
9,21,undirected,0.9807007326032816
9,22,undirected,0.9789322127427827
9,23,undirected,0.9376466919811994
9,24,undirected,0.9827607971880392
9,25,undirected,0.9574344439567428
9,26,undirected,0.9571554305698786
9,27,undirected,0.9312633677415258
9,28,undirected,0.9285189962288782
9,29,undirected,0.9719088436574912
9,30,undirected,0.9814839707223776
10,10,undirected,1.0000000000000002
10,11,undirected,0.6617458060252199
10,12,undirected,0.8511140199328789
10,13,undirected,0.9633626883087032
10,14,undirected,0.8597160014044333
10,15,undirected,0.9934322495872308
10,16,undirected,0.9285877283800036
10,17,undirected,0.9347472060951126
10,18,undirected,0.9032202347667972
10,19,undirected,0.9872865494339912
10,20,undirected,0.8981191256593812
10,21,undirected,0.8851269755860552
10,22,undirected,0.9525995823910094
10,23,undirected,0.8699950672444484
10,24,undirected,0.9491119331656808
10,25,undirected,0.9727340849627316
10,26,undirected,0.8621660142475727
10,27,undirected,0.9639359009852392
10,28,undirected,0.8805139935716388
10,29,undirected,0.9457635335745728
10,30,undirected,0.9569614179738928
11,11,undirected,1.0000000000000002
11,12,undirected,0.8539862337287781
11,13,undirected,0.6055436253290051
11,14,undirected,0.8582963487855569
11,15,undirected,0.6119761631141717
11,16,undirected,0.6524806956154021
11,17,undirected,0.7281888063061042
11,18,undirected,0.6979442292597997
11,19,undirected,0.6134942611524112
11,20,undirected,0.6812833322174747
11,21,undirected,0.7276592714204765
11,22,undirected,0.7306146158835317
11,23,undirected,0.8140381152884363
11,24,undirected,0.5766501865128518
11,25,undirected,0.575644713888415
11,26,undirected,0.7707751897760182
11,27,undirected,0.5073710878550669
11,28,undirected,0.4684737327058507
11,29,undirected,0.7686427996445865
11,30,undirected,0.7292135046582074
12,12,undirected,0.9999999999999998
12,13,undirected,0.8721964557351155
12,14,undirected,0.9922027172949776
12,15,undirected,0.8347696475515736
12,16,undirected,0.9200504675127608
12,17,undirected,0.9569176109375772
12,18,undirected,0.9488418118844656
12,19,undirected,0.8597262236253116
12,20,undirected,0.9436237917761312
12,21,undirected,0.9603027244896516
12,22,undirected,0.9503972386742562
12,23,undirected,0.9952939953638168
12,24,undirected,0.8549731063229121
12,25,undirected,0.8319101437656243
12,26,undirected,0.98241592283234
12,27,undirected,0.7796893102684029
12,28,undirected,0.76237515971635
12,29,undirected,0.9647775511997094
12,30,undirected,0.9446962034721804
13,13,undirected,1.0
13,14,undirected,0.8690374936904263
13,15,undirected,0.9735541152860524
13,16,undirected,0.9868081618315628
13,17,undirected,0.9740862460807174
13,18,undirected,0.9643194519920923
13,19,undirected,0.9917998448324028
13,20,undirected,0.9675065169762016
13,21,undirected,0.9480282207866826
13,22,undirected,0.97825980899668
13,23,undirected,0.9058725342540316
13,24,undirected,0.9924705521384284
13,25,undirected,0.9848846455048844
13,26,undirected,0.921597685897464
13,27,undirected,0.9680429415537716
13,28,undirected,0.9362730634801552
13,29,undirected,0.9674164216477936
13,30,undirected,0.9825237420985206
14,14,undirected,1.0
14,15,undirected,0.8476125002094013
14,16,undirected,0.9149102876171296
14,17,undirected,0.952401260681626
14,18,undirected,0.9474560679991632
14,19,undirected,0.8644014476190828
14,20,undirected,0.9304312401253376
14,21,undirected,0.9595569352013804
14,22,undirected,0.948537168091132
14,23,undirected,0.9886587123385164
14,24,undirected,0.8580145999471294
14,25,undirected,0.8463061629845908
14,26,undirected,0.967545928003588
14,27,undirected,0.7977474789885097
14,28,undirected,0.765801978764427
14,29,undirected,0.964211506121358
14,30,undirected,0.9433449852605692
15,15,undirected,1.0
15,16,undirected,0.939502182706876
15,17,undirected,0.9373734620093972
15,18,undirected,0.9122313213300332
15,19,undirected,0.9939761084122886
15,20,undirected,0.9050739287250632
15,21,undirected,0.8921911542288613
15,22,undirected,0.9541978858835084
15,23,undirected,0.8607487437964977
15,24,undirected,0.959909665353625
15,25,undirected,0.9868279116922776
15,26,undirected,0.857817056476765
