ID,LABEL
0,Gerard Piqué
1,Marc-André ter Stegen
2,Jordi Alba
3,Luis Suárez
4,Sergio Busquets
5,Lionel Messi
6,Ivan Rakitić
7,Sergi Roberto
8,Philippe Coutinho
9,Clément Lenglet
10,Arturo Vidal
11,Ousmane Dembélé
12,Nélson Semedo
13,Arthur Melo
14,Samuel Umtiti
15,Thomas Vermaelen
16,Carles Aleñá
17,Malcom
18,Jasper Cillessen
19,Kevin-Prince Boateng
20,Rafinha
21,Moussa Wagué
22,Jean-Clair Todibo
23,Riqui Puig
24,Munir El Haddadi
25,Jeison Murillo
26,Álex Collado
27,Abel Ruiz
28,Denis Suárez
29,Carles Pérez
30,Chumi
31,Jokin Ezkieta
