Jogador,Gerard Piqué,Marc-André ter Stegen,Jordi Alba,Luis Suárez,Sergio Busquets,Lionel Messi,Ivan Rakitić,Sergi Roberto,Philippe Coutinho,Clément Lenglet,Arturo Vidal,Ousmane Dembélé,Nélson Semedo,Arthur Melo,Samuel Umtiti,Thomas Vermaelen,Carles Aleñá,Malcom,Jasper Cillessen,Kevin-Prince Boateng,Rafinha,Moussa Wagué,Jean-Clair Todibo,Riqui Puig,Munir El Haddadi,Jeison Murillo,Álex Collado,Abel Ruiz,Denis Suárez,Carles Pérez,Chumi,Jokin Ezkieta
Gerard Piqué,0.9999999999999999,0.8170115836966393,0.9549149265502037,0.8062528715778552,0.9740496797122461,0.844564285542004,0.9644187799131057,0.9536103634804785,0.8824290950688333,0.9989015668268001,0.962292234262879,0.8420665599044324,0.964745493107925,0.9597917837347605,0.9949597185283321,0.9950866536759462,0.9311871329699036,0.8572423059941279,0.805708580449462,0.8705666181921567,0.9323101798703456,0.9599430616900806,0.9973302543273478,0.9423041878693665,0.8567139660887715,0.9931897038903961,0.9135376667114717,0.817992197431597,0.9529752211843203,0.8725287732577885,0.9692385079785444,0.980879477085321
Marc-André ter Stegen,0.8170115836966393,1.0,0.7184519148990067,0.5696328953847414,0.6915138958651063,0.5753354278207735,0.6779217531025313,0.6999815500792083,0.6144765806322474,0.8307054501114376,0.6787716652194611,0.5961338485191714,0.7236823631775459,0.6649103796450496,0.7622146703791508,0.7648501130119797,0.6294793864252952,0.6094364371425819,0.9996275396055023,0.5901335199611163,0.6519322531122336,0.6926091900031254,0.7805245544916107,0.6248000043683347,0.6006822268989686,0.7518010157880287,0.6258966632418282,0.6312299264127805,0.7029740259598656,0.6086389181426464,0.7331548414205715,0.7967345723566639
Jordi Alba,0.9549149265502037,0.7184519148990067,1.0000000000000002,0.937835173912232,0.977053081873079,0.9631668576036034,0.9854090862084044,0.9988038731886665,0.9811974330880485,0.9460917723471587,0.9885889676399641,0.9624064787147176,0.9987209172038676,0.9825755921195332,0.9616406777952452,0.9665679241124793,0.9868607995890619,0.9701782591711164,0.7052320244292233,0.9679265268376912,0.9925917704386891,0.9953924113023586,0.9495489344235732,0.9716085807034516,0.9677273335364847,0.9605230248307238,0.9810646409167874,0.9375474778035557,0.986364221654189,0.9734432039441003,0.9972746518413941,0.9832721443075021
Luis Suárez,0.8062528715778552,0.5696328953847414,0.937835173912232,1.0,0.868248308530455,0.9903026135298484,0.8936139732051318,0.9344154359701814,0.9802582073201732,0.7917792440888328,0.906795691659636,0.9940582549903475,0.9245763566789085,0.8900783668496265,0.8174812279637803,0.8288972396823028,0.9305756366900514,0.9902143125131397,0.5575306188200276,0.9805551645741285,0.9451001441847696,0.9255544959956387,0.7965050268928271,0.8868002045861052,0.9930393541530981,0.8167254093474859,0.9590821628448924,0.9927091725201465,0.9332117463904424,0.986423425493877,0.9202426468142887,0.8945184571914404
Sergio Busquets,0.9740496797122461,0.6915138958651063,0.977053081873079,0.868248308530455,0.9999999999999999,0.9113505672906685,0.9979802963192745,0.9825135919773206,0.9391162874603494,0.9638938007669198,0.996328516789965,0.9001166743569492,0.9838857899741215,0.9972002805998824,0.9894745258139299,0.9909782178946186,0.9837897646066636,0.9125187219086064,0.6787206659554397,0.9354802803614848,0.9789725364770303,0.9903003387553794,0.9796792107121994,0.9932589330288414,0.9163841678278378,0.9908965858788696,0.9658804380530758,0.858764724789717,0.9775274964452431,0.9269365144797023,0.988083755337554,0.9744163326267659
Lionel Messi,0.844564285542004,0.5753354278207735,0.9631668576036034,0.9903026135298484,0.9113505672906685,0.9999999999999998,0.9337174751434879,0.9629923834785531,0.9958409590505192,0.8286367773957755,0.9425331108388154,0.9975568449441156,0.9525430483298433,0.9321700182952367,0.8620463069411161,0.8712540324691459,0.9654302483829325,0.9965620453907553,0.5622294873084879,0.9909260615464124,0.9738207550993349,0.9558511893370534,0.839021711714246,0.9310164890658381,0.9971957679257127,0.8621943500283049,0.975682308093663,0.9764320700467191,0.9527862784664085,0.9921198694257299,0.9491884762990263,0.9172254659245355
Ivan Rakitić,0.9644187799131057,0.6779217531025313,0.9854090862084044,0.8936139732051318,0.9979802963192745,0.9337174751434879,0.9999999999999997,0.990755634843544,0.957957861516884,0.9527401383977632,0.9991593872518547,0.923371888181294,0.9899866378549683,0.9996098556849193,0.9814368484121505,0.9839080416667858,0.9929298588707727,0.9348295716322018,0.6649518081542717,0.9522766606188471,0.9892792926021868,0.9952857045608635,0.968371483006736,0.9960984885368462,0.9372689573243499,0.9826049006510621,0.9766648357146237,0.882453868493432,0.9819569173094999,0.9460650101377781,0.9926888352696045,0.9735375825936347
Sergi Roberto,0.9536103634804785,0.6999815500792083,0.9988038731886665,0.9344154359701814,0.9825135919773206,0.9629923834785531,0.990755634843544,0.9999999999999999,0.9819965176047711,0.9430946968794008,0.9929664941662779,0.9596541818510835,0.9988015970394202,0.9890875818302143,0.9644510814107056,0.9689940937325523,0.992836104440712,0.9688007505906944,0.6869017242827776,0.9692383822776581,0.9959635312610866,0.9969777632608792,0.9504072633683653,0.9804401053461207,0.9668340190604288,0.9637938196646425,0.983848041803326,0.9302925378897098,0.9860584871954522,0.9730429478076583,0.9976812505348287,0.9786626057489264
Philippe Coutinho,0.8824290950688333,0.6144765806322474,0.9811974330880485,0.9802582073201732,0.9391162874603494,0.9958409590505192,0.957957861516884,0.9819965176047711,1.0000000000000004,0.8676862922309136,0.9645041723408805,0.993754803089448,0.9741826868170809,0.9567569178098768,0.8986888320742393,0.9066806653241503,0.9816440873769827,0.9967926919739919,0.6014310005319321,0.9913417720453291,0.9886203368959093,0.974556118972232,0.8774184365681396,0.9532057897756582,0.9956409879499734,0.8983498847981951,0.9856599183114237,0.9691695201755274,0.9664932407658947,0.9952713553028533,0.9705949159392856,0.9399557058308271
Clément Lenglet,0.9989015668268001,0.8307054501114376,0.9460917723471587,0.7917792440888328,0.9638938007669198,0.8286367773957755,0.9527401383977632,0.9430946968794008,0.8676862922309136,1.0,0.9510523517520139,0.8281623594593682,0.9562554992313174,0.9471595932795598,0.98992513030341,0.9899203709700152,0.9161511300161158,0.8429949703924825,0.8193969159337144,0.855273121996161,0.9189648094058688,0.9498272539269557,0.9954922694337633,0.92726596249997,0.8420210146961191,0.9877316897184601,0.900119032662042,0.8076448766248651,0.9437382790322577,0.8590649420159501,0.9603741941817704,0.9776547533331083
Arturo Vidal,0.962292234262879,0.6787716652194611,0.9885889676399641,0.906795691659636,0.996328516789965,0.9425331108388154,0.9991593872518547,0.9929664941662779,0.9645041723408805,0.9510523517520139,0.9999999999999996,0.9334699602841543,0.9923152080296017,0.9980915443410628,0.9779530974500281,0.9812484143047672,0.9940241012476712,0.9434093869194496,0.6658448412970152,0.9610991483827375,0.9923716520789869,0.9977570161105409,0.9659058433521129,0.9944812448550524,0.9468582671305762,0.9790164770753855,0.983150797236836,0.8970318168762831,0.986759091133832,0.9551134136189453,0.9947236193422994,0.9776336728280683
Ousmane Dembélé,0.8420665599044324,0.5961338485191714,0.9624064787147176,0.9940582549903475,0.9001166743569492,0.9975568449441156,0.923371888181294,0.9596541818510835,0.993754803089448,0.8281623594593682,0.9334699602841543,0.9999999999999999,0.9507938020167548,0.9206728687093252,0.854383268749933,0.86436751171047,0.9551900961313314,0.9985239990623949,0.5831319544590811,0.986761365967801,0.9675571467342498,0.9499511126340149,0.833298230966623,0.9159707593269824,0.9975921327648217,0.8535563471223604,0.970689447582064,0.9862557666690075,0.9472746970551338,0.993455530394126,0.9457219205761862,0.9178962925584051
Nélson Semedo,0.964745493107925,0.7236823631775459,0.9987209172038676,0.9245763566789085,0.9838857899741215,0.9525430483298433,0.9899866378549683,0.9988015970394202,0.9741826868170809,0.9562554992313174,0.9923152080296017,0.9507938020167548,0.9999999999999998,0.9874580782182234,0.9718762326745359,0.9762247240290901,0.9874345767234749,0.9604466748798156,0.710775668252566,0.9612907825953643,0.9918201505800041,0.9964252968869722,0.9611660428381437,0.9764765618859316,0.9582155333037521,0.9707097225727214,0.9796847402272281,0.9244700513621638,0.9859381564712251,0.966847795057287,0.9987742363299456,0.9854075208764645
Arthur Melo,0.9597917837347605,0.6649103796450496,0.9825755921195332,0.8900783668496265,0.9972002805998824,0.9321700182952367,0.9996098556849193,0.9890875818302143,0.9567569178098768,0.9471595932795598,0.9980915443410628,0.9206728687093252,0.9874580782182234,0.9999999999999999,0.9791308810059235,0.9812914351469545,0.9935348062292951,0.932928146230943,0.6518750893553147,0.9498585255271643,0.9884300261027513,0.9930835783587205,0.9644901059515898,0.9974221385399277,0.9349554151154544,0.98052511599621,0.9744016696195583,0.876966365714955,0.978306026111243,0.9434374475764213,0.989978900671924,0.9671470424532359
Samuel Umtiti,0.9949597185283321,0.7622146703791508,0.9616406777952452,0.8174812279637803,0.9894745258139299,0.8620463069411161,0.9814368484121505,0.9644510814107056,0.8986888320742393,0.98992513030341,0.9779530974500281,0.854383268749933,0.9718762326745359,0.9791308810059235,1.0,0.9996345360047009,0.9530847940965896,0.8703449225822778,0.750115569294346,0.8883083239997618,0.9493121428603314,0.9718191363464063,0.997093352049135,0.9672618522133598,0.8710032098807469,0.9997488226008744,0.9301373891308242,0.8190770736749032,0.9609053445221837,0.8858798536122523,0.97639933797757,0.9757584249773006
