Jogador,Álex Moreno,Raúl de Tomás,Jordi Amat,Luis Advíncula,Adri Embarba,Abdoulaye Ba,Santi Comesaña,Óscar Trejo,Stole Dimitrievski,Giannelli Imbula,Álvaro García,Alberto García,Álex Gálvez,José Pozo,Emiliano Velázquez,Bebé,Álvaro Medrán,Tito,Mario Suárez,Gaël Kakuta,Uche Henry Agbo,Gorka Elustondo,Sergio Akieme,Catena,Javi Guerra,Franco Di Santo,Chechu,Álex Alegría,Sergio Moreno,Lass Bangoura,Morro
Álex Moreno,1.0000000000000002,0.9468119024018186,0.9503887500392227,0.9944389117104822,0.9653531051414913,0.9262844039609288,0.965152625717476,0.9813499891696174,0.7177405813048208,0.9634215612766709,0.9774747732273017,0.7289963190398564,0.9336617139933013,0.9802675638746525,0.9317675735144556,0.9727990405739505,0.9758478008326043,0.9866761356516004,0.9663708137657386,0.9836847703871047,0.965737164488477,0.9572875883066929,0.9940675728496497,0.9500631710169074,0.9632647699099584,0.9651773639362522,0.9478828054265712,0.9381698475709518,0.8840525125031942,0.9912912888148353,0.994516444245992
Raúl de Tomás,0.9468119024018186,1.0000000000000002,0.8613483551415969,0.937843926313411,0.9687595614840062,0.8003490653906612,0.9146114916623561,0.9749922200273491,0.5435251078646853,0.9508393755907648,0.9568956582206862,0.55261801971765,0.8118510283525333,0.9742226450341428,0.8293148097072259,0.9682175152149151,0.9477963349001913,0.9293197606167687,0.9256426903597305,0.9771187968040826,0.9151138088884827,0.9073845295105512,0.9385320599486142,0.85343708751473,0.98355290473511,0.9864678032823102,0.8579875354146147,0.994646899042331,0.957531426805931,0.9297677132319085,0.9479732206600376
Jordi Amat,0.9503887500392227,0.8613483551415969,1.0,0.9726159763773378,0.8464070493125946,0.9856784483582769,0.9866253062524813,0.9297801166232297,0.7782408642099541,0.9504156954723876,0.8683657311493506,0.7906700442198343,0.9896936126962729,0.9155050591947418,0.9833329540940244,0.8644735410547826,0.9606751685680781,0.9816392578450237,0.9825931345703434,0.8952397433401629,0.9779044380759643,0.9896056948489566,0.9727213320647758,0.9981522442456273,0.9048535084717154,0.878229282361257,0.9959787402264071,0.8299342228040225,0.820980227743649,0.9808766604697051,0.9687383486383304
Luis Advíncula,0.9944389117104822,0.937843926313411,0.9726159763773378,1.0,0.9405417258722063,0.9427822325111525,0.9868117767230168,0.9843511281086711,0.7155984939068382,0.980804675714624,0.9519457871521574,0.7277383051961679,0.9505226522785181,0.980292360525733,0.9448648980806763,0.9513436413326147,0.9899108298289174,0.9978619090438349,0.9864390357963264,0.9718631918160028,0.9871454501181577,0.9804911972116838,0.9990909257153064,0.9690863138441819,0.9660573392919698,0.9556570539819172,0.972749637740408,0.9221664198342414,0.8880599884970914,0.997061128108433,0.9987385194686802
Adri Embarba,0.9653531051414913,0.9687595614840062,0.8464070493125946,0.9405417258722063,1.0,0.8055760871225267,0.8878533131049312,0.9638067177506827,0.5830973609491055,0.9170057422568206,0.9943035240673761,0.5915664423106735,0.8167683075526526,0.9682763297274019,0.8294762368157594,0.9984335141346627,0.9282051203750453,0.9242067504409038,0.8976793246061239,0.9912202430679277,0.8910449943917862,0.8754670973635861,0.9422098687587688,0.843492983844792,0.9573533494174524,0.9834589679301249,0.840771372896783,0.9802088491444716,0.8939791420485186,0.9301036407235077,0.9465267308329236
Abdoulaye Ba,0.9262844039609288,0.8003490653906612,0.9856784483582769,0.9427822325111525,0.8055760871225267,1.0000000000000002,0.9473526710770424,0.8745035892614079,0.8561583755664847,0.8915102223852995,0.8423048182961577,0.8680215904094634,0.9993693062708823,0.859934450757862,0.9924229162177612,0.8243644952534841,0.9090827237600806,0.9491171354600968,0.9402048588272904,0.8482169672992598,0.9343388263500899,0.9533674662646449,0.9431530659547838,0.992727388482976,0.8412801498785883,0.8197080509503331,0.977064342796856,0.7663977496735059,0.7466767898736238,0.9588956641636577,0.9369189498836593
Santi Comesaña,0.965152625717476,0.9146114916623561,0.9866253062524813,0.9868117767230168,0.8878533131049312,0.9473526710770424,1.0,0.9707881991699073,0.6957424290686652,0.987767386779094,0.8963093397277776,0.708272411610425,0.9554664657758147,0.9602359951631617,0.9494137521454187,0.9030612260936854,0.9913562219070748,0.9941713729174757,0.9990068603717651,0.9362104057155958,0.9973625921637294,0.9981153296547691,0.9861239759721502,0.9780443030945328,0.9545596596598238,0.927992921783679,0.9877637915153215,0.8885580288601106,0.8831565404461467,0.9861935985318079,0.9853967463142866
Óscar Trejo,0.9813499891696174,0.9749922200273491,0.9297801166232297,0.9843511281086711,0.9638067177506827,0.8745035892614079,0.9707881991699073,0.9999999999999998,0.6066303683213616,0.9896061433118025,0.9587768884074336,0.6177281992697843,0.8863325412645697,0.9977825982790982,0.8874320312646015,0.9707335965431174,0.9921515590087507,0.9812220076290151,0.9757748092245601,0.9897650208843655,0.9743893634779706,0.9616100279140561,0.9840245144902929,0.9193447495654672,0.9927858428948881,0.98692831342696,0.9315878536405321,0.966768357551609,0.9315394844315703,0.9743245855788989,0.9873595731019554
Stole Dimitrievski,0.7177405813048208,0.5435251078646853,0.7782408642099541,0.7155984939068382,0.5830973609491055,0.8561583755664847,0.6957424290686652,0.6066303683213616,0.9999999999999998,0.6081748564281586,0.6532022137853764,0.9994015881597951,0.8418729382891984,0.5939254549394214,0.8488882696562868,0.6036139965659371,0.6405667082185439,0.7164633799945863,0.6862858949817006,0.603435782081121,0.6673193718544842,0.7163536461763229,0.7191611214632952,0.8012578548653432,0.5662149705879569,0.567704881523301,0.7569934580486571,0.498478802296386,0.45717063266879393,0.7578579365723326,0.7183850822378589
Giannelli Imbula,0.9634215612766709,0.9508393755907648,0.9504156954723876,0.980804675714624,0.9170057422568206,0.8915102223852995,0.987767386779094,0.9896061433118025,0.6081748564281586,1.0,0.9132924980355452,0.6208377132302912,0.9028766919924809,0.9848308356499393,0.8974695731044628,0.9281565123997354,0.9972587760414452,0.9842666118579476,0.9895635666778655,0.9599371092241469,0.9914107565779071,0.9807007326032817,0.9789322127427827,0.9376466919811994,0.9827607971880392,0.9574344439567428,0.9571554305698786,0.9312633677415258,0.9285189962288782,0.9719088436574913,0.9814839707223776
