Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Gerard Piqué,DF,31,35,4,2,2196,2407,23,25,17,0,325,1279,1395,87,28
Marc-André ter Stegen,GK,26,35,0,0,930,1084,6,0,0,0,1005,1125,3,0,0
Jordi Alba,DF,29,32,2,8,2279,2695,84,20,15,7,95,683,1300,1018,91
Luis Suárez,FW,31,31,21,6,744,1001,121,1,6,11,33,73,468,842,240
Sergio Busquets,MF,30,30,0,1,2152,2405,51,35,45,10,85,585,1733,366,16
Lionel Messi,FW,31,29,36,13,1504,1936,243,5,3,4,1,46,970,1343,164
Ivan Rakitić,MF,30,29,3,5,2344,2595,61,10,14,6,66,503,1775,587,28
Sergi Roberto,"DF,MF",26,23,0,7,1599,1783,52,15,9,4,52,382,946,652,62
Philippe Coutinho,"FW,MF",26,22,5,2,1241,1461,91,1,6,9,8,105,743,887,103
Clément Lenglet,DF,23,22,1,0,1024,1147,4,26,19,2,150,682,637,27,9
Arturo Vidal,MF,31,22,3,7,1342,1516,49,32,37,9,42,320,1042,413,49
Ousmane Dembélé,"FW,MF",21,20,8,5,764,1004,80,4,13,6,6,76,434,728,109
Nélson Semedo,DF,24,20,1,0,1098,1213,18,23,12,3,43,344,643,421,42
Arthur Melo,MF,21,19,0,1,1200,1292,30,5,6,4,19,208,893,278,10
Samuel Umtiti,DF,24,13,0,1,841,891,11,3,4,1,67,366,584,24,3
Thomas Vermaelen,DF,32,7,0,0,360,383,1,3,3,0,34,158,253,25,2
Carles Aleñá,MF,20,6,2,0,536,587,27,0,6,1,2,48,387,215,11
Malcom,"FW,MF",21,6,1,2,274,329,20,0,1,2,3,24,142,226,40
Jasper Cillessen,GK,29,3,0,0,98,111,0,0,0,0,111,119,0,0,0
Kevin-Prince Boateng,FW,31,3,0,0,46,61,3,0,1,2,3,5,41,40,7
Rafinha,"FW,MF",25,3,0,0,131,148,3,2,3,3,4,20,92,64,3
Moussa Wagué,"DF,FW",19,2,0,0,128,154,8,1,4,1,4,36,94,50,6
Jean-Clair Todibo,DF,18,2,0,0,109,118,1,4,3,0,9,62,80,1,0
Riqui Puig,MF,18,2,0,0,106,116,3,0,2,1,2,10,90,26,0
Munir El Haddadi,FW,22,1,1,1,48,62,4,1,1,1,2,4,31,42,10
Jeison Murillo,DF,26,1,0,0,116,126,2,1,1,0,8,49,84,2,1
Álex Collado,FW,19,0,0,0,25,30,0,0,1,0,1,5,22,16,4
Abel Ruiz,FW,18,0,0,0,8,11,1,1,0,0,1,2,4,9,3
Denis Suárez,"MF,DF",24,0,0,0,14,18,3,0,0,0,1,5,11,6,3
Carles Pérez,FW,20,0,0,0,6,7,0,0,0,0,0,1,4,5,1
Chumi,DF,19,0,,,23263,26691,1000,218,232,87,2182,7325,14901,8400,1045
Jokin Ezkieta,GK,21,0,,,11210,14681,700,426,252,64,2299,6567,8133,4232,651
