Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Álex Moreno,DF,25,36,1,1,1152,1536,77,41,18,4,122,578,757,671,73
Raúl de Tomás,FW,23,32,14,1,377,473,65,0,7,1,47,81,440,338,126
Jordi Amat,DF,26,31,0,0,1064,1295,16,34,19,1,145,758,816,42,10
Luis Advíncula,DF,28,27,1,3,957,1197,50,38,12,2,84,439,671,370,25
Adri Embarba,"MF,FW",26,27,5,6,486,823,93,20,24,10,13,182,442,609,77
Abdoulaye Ba,DF,27,25,1,0,867,1054,5,37,8,1,203,836,502,26,11
Santi Comesaña,MF,21,23,1,1,910,1078,30,29,25,2,73,401,780,129,12
Óscar Trejo,"MF,FW",30,22,1,4,672,882,59,21,25,11,21,161,618,370,42
Stole Dimitrievski,GK,24,21,0,0,417,645,1,0,0,0,624,683,2,0,0
Giannelli Imbula,MF,25,21,1,1,654,732,60,6,7,1,19,144,590,186,13
Álvaro García,"FW,MF",25,17,4,2,314,507,45,11,7,4,39,150,220,347,67
Alberto García,GK,33,17,0,0,387,554,0,1,0,0,517,599,3,0,0
Álex Gálvez,DF,29,17,1,0,562,699,13,25,13,0,109,520,335,18,12
José Pozo,MF,22,16,3,0,600,745,78,4,5,4,10,106,485,345,32
Emiliano Velázquez,DF,24,14,0,2,386,561,18,38,9,2,130,445,330,51,17
Bebé,"FW,MF",28,13,1,1,304,515,43,10,4,5,19,123,285,359,20
Álvaro Medrán,MF,24,12,3,0,623,789,45,5,6,4,21,179,547,191,16
Tito,DF,33,12,0,0,485,631,18,12,2,0,46,232,381,146,4
Mario Suárez,MF,31,11,2,0,461,583,22,17,17,3,42,208,439,85,13
Gaël Kakuta,"MF,FW",27,9,1,0,188,277,19,5,5,2,4,54,161,160,19
Uche Henry Agbo,MF,22,5,0,0,184,202,5,3,4,0,3,63,139,28,0
Gorka Elustondo,"MF,DF",31,3,0,0,118,146,4,4,3,0,18,61,112,13,2
Sergio Akieme,DF,20,2,0,1,64,84,1,3,0,0,7,32,49,27,0
Catena,DF,23,2,0,0,85,99,2,3,1,0,13,66,59,6,3
Javi Guerra,"FW,MF",36,1,0,1,58,76,13,1,1,1,2,8,57,32,13
Franco Di Santo,FW,29,1,0,0,23,38,1,1,0,1,2,5,27,22,4
Chechu,DF,36,1,0,0,47,52,4,0,0,0,4,27,31,0,0
Álex Alegría,"FW,MF",25,0,0,0,22,32,4,0,1,0,0,4,27,25,8
Sergio Moreno,FW,19,0,0,0,2,2,1,0,0,0,0,0,2,1,1
Lass Bangoura,"FW,MF",26,0,,,12469,16307,792,369,223,59,2337,7145,9307,4597,620
Morro,GK,17,0,,,13416,17602,774,335,354,120,1997,6057,10258,5680,878
