ID,LABEL
0,Diego López
1,Marc Roca
2,Sergi Darder
3,David López
4,Dídac Vilà
5,Bernardo Espinosa
6,Wu Lei
7,Jonathan Calleri
8,Víctor Sánchez
9,Leandro Cabrera
10,Adri Embarba
11,Javi López
12,Naldo
13,Victor Gomez
14,Óscar Melendo
15,Fernando Calero
16,Adrià Pedrosa
17,Raúl de Tomás
18,Matías Vargas
19,Víctor Campuzano
20,Facundo Ferreyra
21,Esteban Granero
22,Pipa
23,Lluis López
24,Sébastien Corchia
25,Ander Iturraspe
26,Nico Ribaudo
27,Oier Olazábal
28,Pol Lozano
29,Pablo Piatti
30,Kévin Soni
31,Andrés Prieto
32,Mohamed Ezzarfani
