Jogador,Diego López,Marc Roca,Sergi Darder,David López,Dídac Vilà,Bernardo Espinosa,Wu Lei,Jonathan Calleri,Víctor Sánchez,Leandro Cabrera,Adri Embarba,Javi López,Naldo,Victor Gomez,Óscar Melendo,Fernando Calero,Adrià Pedrosa,Raúl de Tomás,Matías Vargas,Víctor Campuzano,Facundo Ferreyra,Esteban Granero,Pipa,Lluis López,Sébastien Corchia,Ander Iturraspe,Nico Ribaudo,Oier Olazábal,Pol Lozano,Pablo Piatti,Kévin Soni,Andrés Prieto,Mohamed Ezzarfani
Diego López,0.9999999999999999,0.6455040774918394,0.6135492898766464,0.7374760449040944,0.7170634933797971,0.8456968997335363,0.601145284239075,0.5386883171802838,0.6651588233372036,0.8163151066250458,0.5802597000969888,0.7432925822452653,0.8097701120628699,0.7138754783049028,0.6007248174180283,0.806973555621093,0.693287362298389,0.5620595178644222,0.5816356682795392,0.5013197908414367,0.5460435018956511,0.6254527618983916,0.7521417123048892,0.7689819423830464,0.6693269451961257,0.7206869181345785,0.5658901395253039,0.9933546045232686,0.6849065851331992,0.4946431504591171,0.28585853428280444,0.7563004990888212,0.7328548659656853
Marc Roca,0.6455040774918394,1.0000000000000002,0.9862667706095719,0.9876880496528104,0.9866632649877983,0.9299380852955548,0.8971489107427829,0.8758298179199682,0.9950007166985941,0.9534091683584371,0.9065396945138819,0.9772716895899428,0.9530486288610581,0.9735017228441933,0.9787978653758348,0.9528121797155484,0.9803884301335484,0.9580555982576955,0.9201406727684736,0.9000613628256919,0.9173229230128752,0.9797100184020112,0.962217132543131,0.9695618014856695,0.9525045267395365,0.9924555435844038,0.9461830122144641,0.665572511151295,0.9929344882677416,0.8698915520446764,0.4618153874141294,0.9802904753435935,0.9839687477084991
Sergi Darder,0.6135492898766464,0.9862667706095719,1.0,0.9648947993952736,0.9852753422736978,0.901694990523107,0.9498679200329657,0.937367718782629,0.9949280968059627,0.9306790042982055,0.9597715888594559,0.976809529726245,0.9205051558716035,0.984707804338897,0.9975487399727697,0.9205912171814802,0.991528667634169,0.9882849691336812,0.9709974644220911,0.9550095450206865,0.9667870736260187,0.9988590216811383,0.9726510390847057,0.9421829519319979,0.9815050784039345,0.9712404308436908,0.98568538507308,0.6324660447797055,0.9698681254864133,0.9365425969426617,0.5875997170780949,0.9772510600931952,0.9849013336410309
David López,0.7374760449040944,0.9876880496528104,0.9648947993952736,1.0000000000000004,0.9906479950524035,0.9754168294344678,0.8805857731138778,0.8435603211810294,0.985718692819261,0.9865576718888016,0.8821608150296015,0.9890206534282572,0.9885436373559292,0.9777712529187322,0.9557311932328669,0.9881950017472971,0.9783662088302051,0.9273747135727077,0.8960626282854918,0.8588302763577293,0.8835378979156651,0.9607057944161231,0.9755067055130711,0.9943873885468509,0.9470700286899965,0.9969109259588921,0.9175208504771932,0.752657440463659,0.9964298544927168,0.8319476749592871,0.4338122289962572,0.9911048637575275,0.988648568398227
Dídac Vilà,0.7170634933797971,0.9866632649877983,0.9852753422736978,0.9906479950524035,0.9999999999999999,0.9609190650492878,0.9317166203262602,0.9040005458766949,0.9953314494229473,0.9787629035801939,0.9362695771214825,0.9980759277215168,0.9699999295226627,0.9953739868252154,0.9780705115033047,0.9692165342601189,0.9962224404224908,0.9607698910635857,0.9457858019683741,0.9132440986474812,0.9344193765623475,0.9850844782450124,0.9932363858061174,0.9786790807479753,0.9759508864774441,0.990516087449708,0.9564192700466362,0.7282904891819397,0.9862174959678874,0.8946142732371614,0.5367386924909737,0.9978903242976968,0.9978769455730532
Bernardo Espinosa,0.8456968997335363,0.9299380852955548,0.901694990523107,0.9754168294344678,0.9609190650492878,1.0000000000000002,0.8397106605497358,0.7854633766948544,0.936097825226857,0.9954207604241453,0.8309671696278655,0.9703973005864388,0.9957096011205994,0.950835621055175,0.8899689321529615,0.994556429319501,0.9426299912432542,0.8568698254870741,0.8417824548126565,0.7837156011714633,0.8173277553468519,0.9026790794940768,0.9630810390592109,0.9851576427979206,0.9097144447410821,0.9630589316088438,0.8507654055009055,0.8503520812666736,0.9573556615242403,0.7638901851956649,0.41018176225792413,0.9711041019275187,0.9599431874429903
Wu Lei,0.601145284239075,0.8971489107427829,0.9498679200329657,0.8805857731138778,0.9317166203262602,0.8397106605497358,1.0,0.9915979568307288,0.9302343136300919,0.8665107106921089,0.9878369832223871,0.927984809809888,0.8401687713133598,0.9463626841981682,0.9498484494187774,0.837940042787878,0.9546725897898912,0.9766854455197402,0.9891248940303894,0.984311002997341,0.9902098389783054,0.9600823563247706,0.9464794191153828,0.8549414220388069,0.962949059522982,0.8858101467353516,0.9757697549089215,0.6097759137203704,0.8761362343785666,0.9828099403973459,0.7924884207176591,0.9275126831171053,0.9348806217622917
Jonathan Calleri,0.5386883171802838,0.8758298179199682,0.937367718782629,0.8435603211810294,0.9040005458766949,0.7854633766948544,0.9915979568307288,1.0,0.908446813832014,0.8230653265208308,0.9880512647600636,0.8948084352924509,0.7882514135859657,0.9184327222368217,0.935711615482995,0.7846985982157187,0.9300044604964606,0.9713816813618936,0.9847055281854842,0.9930077355709986,0.9937333447112673,0.9474359841205003,0.9152666973958224,0.8065165401827569,0.9389318722562405,0.8572991026996858,0.9680064081923412,0.5432054876350129,0.8404526522194101,0.9863086508094366,0.8047547958061086,0.8956826113526827,0.9053850069961888
Víctor Sánchez,0.6651588233372036,0.9950007166985941,0.9949280968059627,0.985718692819261,0.9953314494229473,0.936097825226857,0.9302343136300919,0.908446813832014,0.9999999999999999,0.9588724886174271,0.9388233772745621,0.9894965558524323,0.9533181813765842,0.9898791479436675,0.9900457351451867,0.9533136651194971,0.9946227125266952,0.9730047033198318,0.9504213710014638,0.9261836260019168,0.9429094505973764,0.9925551897282018,0.9814376878242015,0.9691827020755717,0.9765256637660441,0.9888384159720627,0.9679272253687378,0.6831694948170524,0.9879565591925344,0.9048250765567533,0.5307753428245192,0.990277501033995,0.9942191335306595
Leandro Cabrera,0.8163151066250458,0.9534091683584371,0.9306790042982055,0.9865576718888016,0.9787629035801939,0.9954207604241453,0.8665107106921089,0.8230653265208308,0.9588724886174271,1.0,0.866419923328288,0.9840545011805433,0.994297676140352,0.9677052176364689,0.9172080172524034,0.9922916549234567,0.9624669245961668,0.889763537635531,0.8732942026927061,0.8243355241467367,0.8542819247809886,0.9307057358846276,0.9769408270643334,0.9870105870138114,0.928061369426973,0.9804897362631896,0.8810263394904714,0.8183991177375046,0.9707079765016063,0.7997103977084525,0.43118571210386397,0.9847104041586145,0.975335314136337
