Jogador,Karim Benzema,Casemiro,Sergio Ramos,Thibaut Courtois,Raphaël Varane,Dani Carvajal,Toni Kroos,Luka Modrić,Federico Valverde,Ferland Mendy,Marcelo,Isco,Eden Hazard,Vinicius Júnior,Gareth Bale,Rodrygo,Éder Militão,Lucas Vázquez,James Rodríguez,Nacho,Luka Jović,Alphonse Areola,Álvaro Odriozola,Marco Asensio,Brahim Díaz,Mariano,Altube,Miguel Gutiérrez
Karim Benzema,0.9999999999999998,0.9134249997305067,0.8628769232863652,0.5905362034155078,0.8376010528342873,0.9609764689442959,0.9555631175432624,0.9689866341904807,0.962629990518827,0.9632530234925077,0.9789512959684392,0.9772904444077701,0.9991844937582143,0.99127872113781,0.9943450518925722,0.9985343737646112,0.8420210562404982,0.9795193537824004,0.9812325037911719,0.9408395253162539,0.9845423883823406,0.614935826248011,0.959554642562163,0.9947604047220066,0.9741655868294008,0.9746053741956591,0.9532518425424013,0.9259750589963838
Casemiro,0.9134249997305067,1.0,0.9760525997012209,0.6980146603713976,0.960966180791715,0.9771560061886003,0.9875867462414788,0.9826717576814925,0.9869515782010762,0.9800934421684849,0.9694994234778337,0.9750384737278001,0.9187049245678028,0.8655599676207687,0.9386941215153191,0.9264788955755812,0.9627596518273358,0.9734326962926595,0.9676265432177226,0.9880314037919821,0.9508061075805829,0.7214368324979905,0.971739949329402,0.9427463856319013,0.9647308439196978,0.8562320865627254,0.9862946413962672,0.9865070065223339
Sergio Ramos,0.8628769232863652,0.9760525997012209,0.9999999999999997,0.8100448121707677,0.9974515976263413,0.9654875498724208,0.94806229339592,0.9428184543201766,0.9466505951629659,0.9640594317231739,0.9417738798698202,0.9305680161089599,0.8716775645355864,0.811475828697993,0.8897512409280062,0.8759520075718356,0.997778148017771,0.9379653419178049,0.9185686581921697,0.9798307928475856,0.8835437722521913,0.832723920634459,0.9654163507045178,0.9025982707534785,0.9019783070749418,0.7907975838756203,0.9737786624256006,0.9845248783136304
Thibaut Courtois,0.5905362034155078,0.6980146603713976,0.8100448121707677,1.0000000000000002,0.8347146556553474,0.7253530281012603,0.6416660926160672,0.6457008261908986,0.6474254763137878,0.7159844813029431,0.6828700062669415,0.6297961549608084,0.5993314372253697,0.5555219574968601,0.6155536518983479,0.594290971064057,0.834441112929626,0.6605574967886424,0.61966181492866,0.7580037898022899,0.5616756737325657,0.9985725369234074,0.7438573692653757,0.632591736241119,0.577629765923513,0.5184671304337739,0.7383952736841943,0.7825801256218603
Raphaël Varane,0.8376010528342873,0.960966180791715,0.9974515976263413,0.8347146556553474,1.0,0.9524177434385798,0.9256086234218202,0.9212584304353537,0.9249960352027083,0.9498376400946875,0.9239471343653568,0.9074808587265852,0.8477939313625311,0.7877202103410533,0.8679861764864353,0.8515780580880368,0.9999121274428389,0.9193328253945238,0.8958457552981357,0.9686410834555034,0.85532691801021,0.8561976233684729,0.9543464676575016,0.8811355927038729,0.8759713200923358,0.7658596705181038,0.9604628599099819,0.9765835487242104
Dani Carvajal,0.9609764689442959,0.9771560061886003,0.9654875498724208,0.7253530281012603,0.9524177434385798,0.9999999999999999,0.9855148924761074,0.9899359847749217,0.9880617275272463,0.9996912680809374,0.9962492443130962,0.987584019698709,0.9673297685585954,0.9283631679507054,0.975322088694379,0.9690593913397147,0.9549125285277386,0.9933509410709472,0.9845915714720355,0.9952957176391767,0.9628326498088853,0.7505231717007967,0.9981861420755697,0.9825466233134729,0.9659678795560973,0.9026473607676515,0.9979872710294789,0.9893192858656926
Toni Kroos,0.9555631175432624,0.9875867462414788,0.94806229339592,0.6416660926160672,0.9256086234218202,0.9855148924761074,1.0000000000000002,0.9982241127568966,0.9990767700381213,0.9885517653415811,0.9884359097788105,0.9959868322342057,0.9597654028700237,0.9129767358446984,0.9696319197079524,0.9649516032706601,0.9283105110419341,0.9899526835733896,0.9906731521755716,0.9836599446734766,0.9796416103066017,0.6682604058015204,0.9778979986932069,0.974774943522575,0.983242736857131,0.8951672412241122,0.9882103711023814,0.973650661428784
Luka Modrić,0.9689866341904807,0.9826717576814925,0.9428184543201766,0.6457008261908986,0.9212584304353537,0.9899359847749217,0.9982241127568966,1.0,0.999423763952531,0.9926726935781064,0.994657475072431,0.9991066865009646,0.9729935181649619,0.9332344369084791,0.9817227256226381,0.977165040129958,0.9242599123010878,0.9962368686143739,0.9963174643163468,0.9854960402550833,0.9861392233706094,0.6716173296084079,0.984349203099321,0.9854193324927822,0.9876348717994154,0.9150285641779358,0.9906254609528916,0.9755930702418097
Federico Valverde,0.962629990518827,0.9869515782010762,0.9466505951629659,0.6474254763137878,0.9249960352027083,0.9880617275272463,0.9990767700381213,0.999423763952531,1.0000000000000002,0.9912143786345885,0.9917068168176686,0.9977490813111816,0.9664345163848861,0.9245023785075046,0.9767323522657501,0.9717290982966703,0.9279090394955455,0.9940562906483926,0.9939163438046086,0.9862719480818201,0.9844714477879907,0.6730044458263644,0.982048337996524,0.9803886519697317,0.9880249305744909,0.9088309010755017,0.9904127827899709,0.9769685239905814
Ferland Mendy,0.9632530234925077,0.9800934421684849,0.9640594317231739,0.7159844813029431,0.9498376400946875,0.9996912680809374,0.9885517653415811,0.9926726935781064,0.9912143786345885,0.9999999999999999,0.9970390393631543,0.9904303548260952,0.9690811530308235,0.93055107139549,0.9775593628967871,0.9714598911389808,0.9524242850117027,0.9951932799199513,0.9874008631592406,0.9957421155300382,0.9680637250183581,0.7410225241144622,0.9977103151579522,0.9840320724592702,0.9714786756996314,0.9072056816601551,0.9984869499836653,0.989477701751029
