Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Diego López,GK,37,36,0,0,666,1140,6,2,0,0,1025,1206,11,0,0
Marc Roca,MF,22,35,2,1,1374,1734,71,29,44,9,82,422,1320,299,18
Sergi Darder,MF,25,29,2,1,805,1090,84,11,26,10,24,196,747,426,35
David López,"DF,MF",29,29,4,2,1113,1401,36,15,20,3,110,606,897,148,24
Dídac Vilà,DF,30,28,0,0,898,1287,34,44,23,6,76,478,763,351,39
Bernardo Espinosa,DF,30,26,3,0,827,1122,6,18,4,2,162,771,507,74,41
Wu Lei,"FW,MF",27,21,4,0,201,312,27,5,6,2,17,94,189,248,87
Jonathan Calleri,FW,25,20,1,3,186,367,44,6,4,2,25,58,239,302,97
Víctor Sánchez,MF,31,20,0,1,731,954,52,36,23,7,46,262,645,277,9
Leandro Cabrera,DF,28,17,0,1,562,860,15,17,9,1,107,503,440,90,9
Adri Embarba,"MF,FW",27,17,2,4,239,436,42,16,16,5,14,105,274,334,24
Javi López,DF,33,16,0,0,502,701,23,23,18,6,44,302,376,201,4
Naldo,DF,30,15,0,1,566,686,12,15,9,0,85,428,371,23,12
Victor Gomez,"DF,FW",19,14,0,0,497,702,25,8,4,1,30,243,346,251,10
Óscar Melendo,"MF,FW",21,12,0,0,292,358,30,4,4,2,5,50,229,155,9
Fernando Calero,DF,23,12,0,0,516,601,5,10,4,0,71,370,316,22,1
Adrià Pedrosa,"DF,MF",21,11,1,0,366,495,28,8,9,2,27,173,298,195,17
Raúl de Tomás,FW,24,11,4,0,208,275,30,3,4,2,6,49,223,166,43
Matías Vargas,"FW,MF",22,10,0,3,248,388,32,7,3,3,5,67,211,271,37
Víctor Campuzano,FW,22,9,0,0,94,152,20,1,6,5,4,17,121,127,28
Facundo Ferreyra,"FW,MF",28,5,1,0,69,115,8,4,5,0,5,15,79,83,22
Esteban Granero,MF,32,5,1,0,161,224,22,5,3,2,7,43,142,95,11
Pipa,"DF,FW",21,5,0,0,145,217,9,5,4,0,17,96,105,80,7
Lluis López,DF,22,3,0,0,217,245,5,3,1,0,19,123,131,15,2
Sébastien Corchia,DF,28,3,0,0,143,178,13,2,0,0,8,47,81,92,4
Ander Iturraspe,MF,30,3,0,0,54,74,4,1,1,0,8,29,53,9,0
Nico Ribaudo,"FW,MF",18,2,0,0,55,71,6,1,0,2,0,8,43,44,6
Oier Olazábal,GK,29,2,0,0,51,63,0,0,0,0,62,65,0,0,0
Pol Lozano,MF,19,2,0,0,75,85,2,3,2,0,1,32,60,9,1
Pablo Piatti,"DF,MF",30,0,0,0,19,28,0,1,1,0,0,2,17,26,5
Kévin Soni,FW,21,0,0,0,1,2,0,0,0,0,0,0,0,4,2
Andrés Prieto,GK,25,0,0,0,11881,16363,691,303,253,72,2092,6860,9234,4417,604
Mohamed Ezzarfani,MF,21,0,,,13993,18345,773,265,217,57,2161,6637,10437,5498,696
