Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Karim Benzema,FW,31,36,21,8,1108,1315,121,3,11,4,33,110,640,918,238
Casemiro,MF,27,35,4,3,1817,2185,68,43,45,8,131,687,1588,376,36
Sergio Ramos,DF,33,35,11,0,1963,2164,23,26,17,3,263,1186,1156,124,51
Thibaut Courtois,GK,27,34,0,0,861,1086,2,0,0,0,1039,1151,1,1,1
Raphaël Varane,DF,26,32,2,1,1466,1683,14,15,14,1,213,1078,828,58,18
Dani Carvajal,DF,27,31,1,5,2024,2408,85,33,25,7,101,756,1116,879,65
Toni Kroos,MF,29,31,4,5,2224,2501,121,18,29,9,29,370,1615,763,36
Luka Modrić,MF,33,22,3,7,1247,1452,97,9,15,13,19,246,896,552,33
Federico Valverde,MF,21,21,2,5,961,1104,49,9,19,10,27,195,726,395,24
Ferland Mendy,DF,24,19,1,3,1060,1252,45,20,9,3,54,380,626,468,38
Marcelo,DF,31,15,1,2,872,1064,59,8,8,3,41,231,514,467,35
Isco,"FW,MF",27,15,1,2,727,860,50,2,10,1,6,114,515,362,37
Eden Hazard,"FW,MF",28,14,1,3,500,598,55,2,3,2,3,63,277,404,79
Vinicius Júnior,"FW,MF",19,12,3,1,413,537,63,13,8,5,1,63,246,470,144
Gareth Bale,"FW,MF",30,12,2,2,363,500,36,5,2,2,8,71,256,301,45
Rodrygo,FW,18,12,2,0,419,504,29,2,3,1,1,54,259,338,62
Éder Militão,DF,21,10,0,0,602,694,6,15,9,1,91,438,342,32,6
Lucas Vázquez,"MF,FW",28,8,2,1,456,576,33,10,13,0,6,128,319,261,31
James Rodríguez,"MF,FW",28,5,1,1,233,303,24,6,8,3,0,38,175,139,8
Nacho,DF,29,4,1,0,248,297,7,6,3,2,37,110,163,90,4
Luka Jović,FW,21,4,2,1,108,134,9,0,0,2,1,7,96,76,16
Alphonse Areola,GK,26,4,0,0,113,134,0,0,0,0,116,138,0,0,0
Álvaro Odriozola,DF,23,4,0,1,148,169,12,4,0,1,12,65,80,70,6
Marco Asensio,FW,23,3,3,1,131,158,11,3,1,0,2,25,76,93,13
Brahim Díaz,FW,19,0,0,0,33,41,1,0,1,0,0,5,32,21,6
Mariano,"FW,MF",25,0,1,0,10,14,1,0,0,0,0,2,9,13,6
Altube,GK,19,0,,,20107,23733,1021,252,253,81,2234,7711,12551,7671,1038
Miguel Gutiérrez,"DF,MF",18,0,,,12998,16712,583,302,216,82,2583,7110,9207,4451,530
