ID,LABEL
0,Kiké
1,Marko Dmitrović
2,Anaitz Arbilla
3,Paulo Oliveira
4,Papakouli Diop
5,Edu Expósito
6,Bryan Gil
7,Alejandro Pozo Pozo
8,Takashi Inui
9,Pedro Bigas
10,Sergio Álvarez
11,Sergi Enrich
12,Rober Correa
13,Yoshinori Mutō
14,Rafa Soares
15,Esteban Burgos
16,Kévin Rodrigues
17,José Ángel
18,Pedro León
19,Miguel Atienza
20,Recio
21,Aleix García
22,Yoel
23,Damian Kądzior
24,Álvaro Tejero
25,Unai Dufur
26,Eñaut Mendía
27,Quique
28,Unai Arietaleanizbeaskoa
29,Sergio Cubero Ezcurra
30,Roberto Olabe del Arco
31,Unai Ayala
