Jogador,Jan Oblak,Koke,Marcos Llorente,Stefan Savić,Mario Hermoso,Luis Suárez,Ángel Correa,Kieran Trippier,Yannick Carrasco,Felipe,Saúl Ñíguez,José María Giménez,Thomas Lemar,João Félix,Renan Lodi,Héctor Herrera,Šime Vrsaljko,Geoffrey Kondogbia,Lucas Torreira,Vitolo,Diego Costa,Thomas Partey,Manu Sánchez,Moussa Dembélé,Ricard Sánchez,Sergio Camello,Óscar Castro
Jan Oblak,0.9999999999999999,0.6382838289072906,0.6351010145564717,0.7638968033589385,0.7056854028259297,0.5284582586068232,0.5991668296631089,0.7049176924007905,0.6105606407734285,0.8226400643753953,0.6526897347496871,0.7931747702412303,0.615802929322512,0.5791983625410871,0.6899342609335192,0.6470375528908879,0.6904561333191023,0.6548978882732518,0.674811602949924,0.6195977061248626,0.5651430843524268,0.592045603716997,0.7328989600515339,0.49145382929565773,0.6101457510602132,0.7188270667178769,0.7419131165390659
Koke,0.6382838289072906,0.9999999999999999,0.9840989573164622,0.9719414686626269,0.990700298189257,0.9049362139649525,0.9490664421425492,0.983759590659622,0.9343285129715544,0.944338126980026,0.997179752716586,0.9609560074000795,0.9799843914886033,0.9737978043343477,0.9788177632422773,0.9983710957294614,0.9833330797206761,0.9921662857148524,0.9961811979431038,0.9700021902007118,0.9384530785591195,0.9963790111574273,0.9822934979968336,0.9001346161858258,0.9383604203838477,0.9907535234091237,0.9858259265291778
Marcos Llorente,0.6351010145564717,0.9840989573164622,1.0000000000000002,0.9405593301046006,0.9637786621387087,0.961998192417888,0.9894727537113805,0.9917162017307173,0.9820849393769678,0.9177710457220865,0.9934301246970101,0.9340446161857061,0.9982892899546114,0.9957714962836659,0.9951329148241015,0.9735377893588992,0.9893889406661321,0.9625885167988111,0.9727000536144348,0.9957815000769789,0.9813363836364007,0.9713523205883418,0.9877138251742311,0.9546478069158213,0.9830647375872897,0.9883173379984592,0.9843923072092567
Stefan Savić,0.7638968033589385,0.9719414686626269,0.9405593301046006,1.0000000000000002,0.9943694038082521,0.8229348082309361,0.8881977014670646,0.9639771661459703,0.874076866642539,0.9936129660454582,0.9681653197673001,0.9975501545559046,0.9271724329299104,0.9097202458891511,0.9515983383348154,0.9799480692279212,0.9640425049430097,0.9837547942609078,0.987034674645785,0.9161736089926734,0.8659719222916417,0.961155332009853,0.9707917857362336,0.8125316507935465,0.8797086038807416,0.9800284347492182,0.9816279657948261
Mario Hermoso,0.7056854028259297,0.990700298189257,0.9637786621387087,0.9943694038082521,0.9999999999999999,0.8605731142591169,0.9171193219767552,0.976528282347705,0.901727201655834,0.977361065876953,0.9867157419191115,0.986972295367084,0.954094369360387,0.9415278974662217,0.9669202042420397,0.9951620324084872,0.9784456761457243,0.9958783748016902,0.9981554090255119,0.9422425683169138,0.8998573422962424,0.9845049793384559,0.9795460375909311,0.854309398772277,0.9069460549669132,0.9895211163346619,0.9879373142046572
Luis Suárez,0.5284582586068232,0.9049362139649525,0.961998192417888,0.8229348082309361,0.8605731142591169,1.0000000000000002,0.9895108103278824,0.9300862987687747,0.986759440794997,0.7971383343805832,0.928499350007905,0.8165618585104718,0.964483001703518,0.9743144654765372,0.9473090043573158,0.8815735087760648,0.9282258501934073,0.8636243751230038,0.8786083934094912,0.9722094741243069,0.9946597015814183,0.8879686299601504,0.922486512118064,0.9964048027865193,0.9799643383144749,0.9160901209595462,0.909923897802703
Ángel Correa,0.5991668296631089,0.9490664421425492,0.9894727537113805,0.8881977014670646,0.9171193219767552,0.9895108103278824,0.9999999999999997,0.9721249090497517,0.9974483419485398,0.8666751415473503,0.9669653990121834,0.8842617869770484,0.9903849564516378,0.9926764001708233,0.9826962035306694,0.9312034101341629,0.9675370303652703,0.9151376863522389,0.9298291775161289,0.9945558266694206,0.9968498364486317,0.9309315817327363,0.9659002079648819,0.9814156383406301,0.9949627428830196,0.9606865314870999,0.9564784362367389
Kieran Trippier,0.7049176924007905,0.983759590659622,0.9917162017307173,0.9639771661459703,0.976528282347705,0.9300862987687747,0.9721249090497517,0.9999999999999998,0.9685344819446535,0.9500253057905037,0.9912797720749089,0.9629917433312111,0.9891618042060377,0.9790486356518786,0.9985383373043244,0.9768363321619231,0.9945952323141952,0.9661017357907641,0.9784466766885327,0.9863917529318034,0.9577095952712168,0.9659777756338064,0.9985026224386043,0.9176356144016384,0.9717483212023953,0.9959959893839818,0.995410046474188
Yannick Carrasco,0.6105606407734285,0.9343285129715544,0.9820849393769678,0.874076866642539,0.901727201655834,0.986759440794997,0.9974483419485398,0.9685344819446535,0.9999999999999998,0.8561786812637238,0.9548950759492185,0.8732871604068521,0.9851436131356455,0.9858365025080557,0.9798683749456314,0.9143276824912809,0.9618095171563359,0.895428759780016,0.9135385465354344,0.9913006974225851,0.9927549505451491,0.9117747639918476,0.9616234352794201,0.975729306541062,0.998316416516579,0.9519402458269063,0.9492336477292699
Felipe,0.8226400643753953,0.944338126980026,0.9177710457220865,0.9936129660454582,0.977361065876953,0.7971383343805832,0.8666751415473503,0.9500253057905037,0.8561786812637238,0.9999999999999996,0.9444452464997678,0.9976551935306441,0.9012402601534376,0.8796972700634307,0.937228939670919,0.9534088477221129,0.9477646461249353,0.959256603713005,0.9653225547744533,0.8932149665753095,0.8397189520322556,0.9260480658573242,0.9600358415923359,0.7816710007148696,0.8614863305015368,0.9662408018429058,0.9715716386043866
