Jogador,Kiké,Marko Dmitrović,Anaitz Arbilla,Paulo Oliveira,Papakouli Diop,Edu Expósito,Bryan Gil,Alejandro Pozo Pozo,Takashi Inui,Pedro Bigas,Sergio Álvarez,Sergi Enrich,Rober Correa,Yoshinori Mutō,Rafa Soares,Esteban Burgos,Kévin Rodrigues,José Ángel,Pedro León,Miguel Atienza,Recio,Aleix García,Yoel,Damian Kądzior,Álvaro Tejero,Unai Dufur,Eñaut Mendía,Quique,Unai Arietaleanizbeaskoa,Sergio Cubero Ezcurra,Roberto Olabe del Arco,Unai Ayala
Kiké,1.0,0.5257353210757214,0.8767564466950204,0.8151675529063492,0.9102313878782397,0.9612994230805828,0.989994455786765,0.9416009979394286,0.996102833305431,0.8355075887845006,0.9002563412873238,0.9955991370347756,0.920267445054079,0.9975186834756445,0.9364738754211714,0.8105924627422187,0.9613123679311822,0.9315503362074499,0.9918330451993722,0.9242286546805513,0.9724700089680587,0.9301940882877212,0.557395226156861,0.9754704292513051,0.9466960582127854,0.9180300891154408,0.9120286015160177,0.9944089719650089,0.973923109074418,0.38499097674612937,0.9362855080365567,0.8723284664484295
Marko Dmitrović,0.5257353210757214,0.9999999999999999,0.7154003702812584,0.7808904328903271,0.6399593982903935,0.6043325657387473,0.5561839428333483,0.679127134483134,0.558416202951548,0.7940206068801019,0.6488597653897044,0.5418828299286935,0.7103493461313555,0.5120684367856536,0.6968340179507213,0.7923641729985814,0.6581071248214359,0.671457055186284,0.566357489834687,0.6168451463787535,0.580282293501771,0.6033396400574896,0.9962640231924186,0.5500083543865855,0.6786905336147334,0.6878420847419535,0.6991213199922902,0.5308273299462136,0.4039150906285215,0.004206070358067154,0.7172691323159144,0.8141454848207877
Anaitz Arbilla,0.8767564466950204,0.7154003702812584,1.0000000000000002,0.9877612592740296,0.9884831681376378,0.9699211598882884,0.8662455957044218,0.9851513539182747,0.8825771912732266,0.9886737314436121,0.9932292930248209,0.899428224467155,0.9933215209975773,0.8497166676821114,0.9872662373067317,0.9873868285525502,0.972204788288085,0.9892334121640017,0.8855508995565519,0.9848080701037806,0.9495473705723009,0.9801004112507555,0.7535647710316367,0.8310784102875044,0.9764412669900464,0.9899340474827608,0.9074654798729856,0.9039589166554021,0.7965407680545231,0.44253741311502814,0.9867434989003743,0.9824532267444366
Paulo Oliveira,0.8151675529063492,0.7808904328903271,0.9877612592740296,1.0,0.9642567043236799,0.9260913430420981,0.80302478040057,0.9542458899217017,0.8228650288229041,0.9964488337677377,0.9697989816530053,0.8387726608686541,0.973630600028719,0.7852526840201419,0.9608285633771985,0.9987031042288187,0.9370378035492931,0.9580021383960303,0.8279289639492147,0.9497940827754848,0.8944406226504495,0.9381073760554053,0.813212509282645,0.7663652663065026,0.9404768548636285,0.9615381159662757,0.9036499721043852,0.8401265876369808,0.7257998872807516,0.4404555162753674,0.9633295390617511,0.9826793134074879
Papakouli Diop,0.9102313878782397,0.6399593982903935,0.9884831681376378,0.9642567043236799,1.0000000000000002,0.9851556874203939,0.8849630314390958,0.9839521872857333,0.9054353647385737,0.9602893642650904,0.9984803696118135,0.9252523900728965,0.9872555617110217,0.8826566859615455,0.9840637529286302,0.9587955758494383,0.9791376303214714,0.9878384401294189,0.9079311415801453,0.9960176083081399,0.964361389342226,0.989710998352789,0.6749377272877372,0.8476079834942347,0.9722049932992416,0.9811374363137702,0.909309122305459,0.9308582984252661,0.8524051014990796,0.5325541185727878,0.9831624069738099,0.9557483626790902
Edu Expósito,0.9612994230805828,0.6043325657387473,0.9699211598882884,0.9260913430420981,0.9851556874203939,0.9999999999999997,0.9485755275300541,0.9928803370295757,0.960712852131351,0.9341377992106216,0.9830529731816808,0.9728360344666563,0.9847188496143755,0.9435212522323723,0.9899462885269472,0.923228784561127,0.9947619485455166,0.9924926367068774,0.9610046077652569,0.9922674089213416,0.995046740075819,0.9943296836901528,0.6427777804120083,0.91985120398151,0.9901121656398751,0.9850014084391333,0.9172740232191154,0.9773626391738361,0.9097223550397477,0.45158198635305447,0.9875906478463315,0.9458142369776934
Bryan Gil,0.989994455786765,0.5561839428333483,0.8662455957044218,0.80302478040057,0.8849630314390958,0.9485755275300541,0.9999999999999999,0.9384487389449684,0.9978117546532865,0.8329883939578288,0.8785975990594889,0.9876860144280392,0.9145335480998075,0.99262563971028,0.933289890541196,0.802737389338183,0.9560681490155671,0.9265320000228312,0.9959553271659958,0.9043112790899993,0.967991877219754,0.9165241245316614,0.591209117727748,0.9943526592245687,0.950160174284888,0.9183254612688353,0.9059464060304776,0.987807241266344,0.9539836309281382,0.2644079920269617,0.9314569713075687,0.8765348522520936
Alejandro Pozo Pozo,0.9416009979394286,0.679127134483134,0.9851513539182747,0.9542458899217017,0.9839521872857333,0.9928803370295757,0.9384487389449684,1.0000000000000002,0.948770769144032,0.9650753703609253,0.9849005070125297,0.9559357319271202,0.9970838907737223,0.9234212642930764,0.9995222315195351,0.9536185465851207,0.9971416199033694,0.9990072893827857,0.9512167135142499,0.9882335317831181,0.9855097490759147,0.9893893516606176,0.7176992377183199,0.91350454265695,0.9979201117932653,0.9969448342957049,0.9338453959791199,0.9606267052270645,0.8748480823843849,0.39276742017943195,0.9978629060105789,0.975185854087692
Takashi Inui,0.996102833305431,0.558416202951548,0.8825771912732266,0.8228650288229041,0.9054353647385737,0.960712852131351,0.9978117546532865,0.948770769144032,0.9999999999999999,0.8481815558341789,0.8979425015101867,0.9928996070363935,0.9274872181906572,0.9955781635596596,0.944089728189354,0.8206093836805273,0.966273797657121,0.9378033495834647,0.9974727176792266,0.921412092295239,0.9748858316609047,0.9298522081951947,0.5922959512497821,0.9879038389434089,0.9570709323867183,0.9279371751125716,0.9195742668166461,0.9931336936450114,0.9639558700916321,0.3237026495914051,0.942921905307251,0.8871849100058967
Pedro Bigas,0.8355075887845006,0.7940206068801019,0.9886737314436121,0.9964488337677377,0.9602893642650904,0.9341377992106216,0.8329883939578288,0.9650753703609253,0.8481815558341789,1.0000000000000002,0.9669508027791394,0.8589357925001317,0.9810728420837913,0.8101770748373027,0.9710743552669645,0.9974559733960877,0.9490758107004439,0.9665317619235415,0.8527843600588983,0.9501999866434029,0.9091336695724176,0.9421394033113986,0.8286414498107362,0.80172746156091,0.9559278113455296,0.9717220969343057,0.9166759581770848,0.8596313831573275,0.7423029001086695,0.38013846833781456,0.9731351344377219,0.9930941652813834
Sergio Álvarez,0.9002563412873238,0.6488597653897044,0.9932292930248209,0.9697989816530053,0.9984803696118135,0.9830529731816808,0.8785975990594889,0.9849005070125297,0.8979425015101867,0.9669508027791394,0.9999999999999999,0.9194935079106628,0.988691691114983,0.8724803008297347,0.9848288238378364,0.9665758370140253,0.9765014213649672,0.9896964797178412,0.8989967158470505,0.9967555748709145,0.9633524918395148,0.991180072866094,0.6866040682906741,0.8398312436410521,0.9744364677056951,0.985170680108693,0.9005260266060892,0.9247073282451649,0.8352491517153413,0.5132715045282378,0.9836635552759663,0.9610733589370379
Sergi Enrich,0.9955991370347756,0.5418828299286935,0.899428224467155,0.8387726608686541,0.9252523900728965,0.9728360344666563,0.9876860144280392,0.9559357319271202,0.9928996070363935,0.8589357925001317,0.9194935079106628,1.0,0.9359618496937723,0.9915108264787681,0.9506489905607575,0.8370675686265293,0.9697959913735461,0.9482482286950699,0.9867867806871432,0.9412706543626166,0.9841152934598418,0.9488610649995549,0.5780991459264819,0.9684282350975495,0.96141514465403,0.9374680654730798,0.9065672536584907,0.9969580095721955,0.9541024178169222,0.3720596318306316,0.9501593778933064,0.8918841602717963
Rober Correa,0.920267445054079,0.7103493461313555,0.9933215209975773,0.973630600028719,0.9872555617110217,0.9847188496143755,0.9145335480998075,0.9970838907737223,0.9274872181906572,0.9810728420837913,0.988691691114983,0.9359618496937723,0.9999999999999999,0.8994284968569466,0.9985826567617979,0.9722767623717724,0.9915316066361733,0.99673750637381,0.9310754801137687,0.9859763810308104,0.9707483001628073,0.9836783289230159,0.7472019569248547,0.8869327155726463,0.9917525846934706,0.9956108118061935,0.9390944217640261,0.9395559136385842,0.8489053553847825,0.41061057031976306,0.9979842507353848,0.985453678870314
Yoshinori Mutō,0.9975186834756445,0.5120684367856536,0.8497166676821114,0.7852526840201419,0.8826566859615455,0.9435212522323723,0.99262563971028,0.9234212642930764,0.9955781635596596,0.8101770748373027,0.8724803008297347,0.9915108264787681,0.8994284968569466,1.0,0.917960826478246,0.7815506619816055,0.945710826006559,0.9109008233933943,0.9903156263631063,0.8990846181593789,0.9596339883921937,0.9071690085019889,0.5434580533346071,0.9815523817896262,0.9315426369966031,0.897248344805299,0.9029524411778309,0.9878372692359919,0.974832038654545,0.34386187168420396,0.9179776853751183,0.8529234179956092
Rafa Soares,0.9364738754211714,0.6968340179507213,0.9872662373067317,0.9608285633771985,0.9840637529286302,0.9899462885269472,0.933289890541196,0.9995222315195351,0.944089728189354,0.9710743552669645,0.9848288238378364,0.9506489905607575,0.9985826567617979,0.917960826478246,1.0000000000000002,0.9598447909621758,0.9963162064313708,0.9982021435648192,0.9472615895960338,0.9860858849442041,0.9805609584976315,0.9861134242132936,0.7340591815277878,0.908414815585129,0.9965031790530883,0.9966182041439129,0.9400777935320942,0.954586138356676,0.8678190336940297,0.3914203011714045,0.9989752404338,0.9804951266385132
Esteban Burgos,0.8105924627422187,0.7923641729985814,0.9873868285525502,0.9987031042288187,0.9587955758494383,0.923228784561127,0.802737389338183,0.9536185465851207,0.8206093836805273,0.9974559733960877,0.9665758370140253,0.8370675686265293,0.9722767623717724,0.7815506619816055,0.9598447909621758,1.0,0.9342022565573865,0.9576376446621759,0.824164214883578,0.9471720156118278,0.8944188437206991,0.937160912877573,0.8261468569994281,0.7660562372469265,0.942277686137626,0.9625575687927849,0.8928521800351973,0.8378016565040111,0.7151380372851432,0.4112390599634844,0.9627665476290834,0.9854441722176095
Kévin Rodrigues,0.9613123679311822,0.6581071248214359,0.972204788288085,0.9370378035492931,0.9791376303214714,0.9947619485455166,0.9560681490155671,0.9971416199033694,0.966273797657121,0.9490758107004439,0.9765014213649672,0.9697959913735461,0.9915316066361733,0.945710826006559,0.9963162064313708,0.9342022565573865,1.0000000000000002,0.993901935934527,0.9694035185922257,0.9829938259716652,0.98911907283542,0.9843243070849438,0.6942078551725738,0.9343865704818064,0.9952359491898016,0.9891171371090312,0.9455000188824881,0.9741874361126508,0.9048747062157124,0.40092931747771104,0.9947464283844007,0.9638735119594718
José Ángel,0.9315503362074499,0.671457055186284,0.9892334121640017,0.9580021383960303,0.9878384401294189,0.9924926367068774,0.9265320000228312,0.9990072893827857,0.9378033495834647,0.9665317619235415,0.9896964797178412,0.9482482286950699,0.99673750637381,0.9109008233933943,0.9982021435648192,0.9576376446621759,0.993901935934527,0.9999999999999998,0.9403422291075366,0.9922294730644295,0.98377044813853,0.9934822587667395,0.7111263097130804,0.8992305420177811,0.9960080505238388,0.9982806519224924,0.9210702935873771,0.9543594172874799,0.8625087008081656,0.4060295783756147,0.9959960408306664,0.9730747548456099
Pedro León,0.9918330451993722,0.566357489834687,0.8855508995565519,0.8279289639492147,0.9079311415801453,0.9610046077652569,0.9959553271659958,0.9512167135142499,0.9974727176792266,0.8527843600588983,0.8989967158470505,0.9867867806871432,0.9310754801137687,0.9903156263631063,0.9472615895960338,0.824164214883578,0.9694035185922257,0.9403422291075366,1.0000000000000002,0.9209337272282189,0.9730985365010679,0.9301000224957929,0.5992454342814957,0.9896999574118998,0.9581534407503474,0.9309425474308818,0.9257767516024195,0.9897772668578596,0.9600868139072558,0.3118879790456512,0.9447813559741276,0.8900875509789913
