Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Jan Oblak,GK,27,38,0,0,642,1005,6,0,0,0,923,1064,8,0,0
Koke,MF,28,34,1,2,2178,2483,79,22,31,11,63,486,1732,571,29
Marcos Llorente,"MF,FW",25,33,12,11,1097,1355,91,21,40,10,36,285,827,631,107
Stefan Savić,DF,29,33,1,0,1487,1752,17,32,7,1,201,844,1121,61,14
Mario Hermoso,DF,25,30,1,1,1622,1939,35,40,11,4,120,677,1323,198,16
Luis Suárez,FW,33,30,21,3,418,588,64,0,4,7,16,44,340,474,173
Ángel Correa,"FW,MF",25,29,9,8,690,898,86,10,23,5,16,157,489,585,147
Kieran Trippier,DF,29,28,0,6,1406,1821,75,30,25,6,84,538,884,642,16
Yannick Carrasco,"DF,MF",26,25,6,10,743,1010,94,14,6,7,22,195,466,700,118
Felipe,DF,31,23,0,0,889,1054,11,19,10,0,185,669,603,39,24
Saúl Ñíguez,"MF,DF",25,22,2,1,976,1180,37,27,23,7,44,276,793,371,56
José María Giménez,DF,25,20,0,0,974,1128,8,14,5,1,134,612,625,53,23
Thomas Lemar,MF,24,19,1,3,643,806,45,9,17,4,15,120,461,395,28
João Félix,"FW,MF",20,14,7,5,567,689,46,1,6,1,6,67,429,376,54
Renan Lodi,"DF,FW",22,11,1,2,577,749,28,13,12,5,30,215,368,317,33
Héctor Herrera,MF,30,8,0,1,594,666,16,5,6,1,16,152,482,102,5
Šime Vrsaljko,"FW,DF",28,6,0,0,212,323,5,13,5,0,14,96,185,110,0
Geoffrey Kondogbia,MF,27,4,0,0,329,389,12,12,16,2,17,113,317,43,5
Lucas Torreira,MF,24,3,1,0,272,312,11,2,3,3,16,94,230,49,3
Vitolo,"MF,FW",30,3,0,0,129,154,9,2,0,2,2,25,79,83,14
Diego Costa,FW,31,2,2,0,57,74,9,1,0,0,2,6,40,49,17
Thomas Partey,MF,27,2,0,0,197,223,6,4,3,0,2,27,178,40,0
Manu Sánchez,DF,19,1,0,1,24,31,1,0,0,0,3,10,15,10,1
Moussa Dembélé,FW,24,0,0,0,20,32,3,0,0,0,0,1,21,25,10
Ricard Sánchez,DF,20,0,0,0,14,19,2,0,0,1,0,4,9,13,1
Sergio Camello,FW,19,0,,,16757,20680,796,291,253,78,1967,6777,12025,5937,894
Óscar Castro,MF,19,0,,,15160,19039,634,308,185,63,2326,6949,10656,5476,577
