Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Kiké,FW,30,36,12,2,574,885,73,5,7,12,33,73,541,733,141
Marko Dmitrović,GK,28,35,1,0,585,1071,11,4,0,0,914,1137,8,4,2
Anaitz Arbilla,DF,33,30,0,1,1459,1932,44,31,11,3,119,720,1256,284,13
Paulo Oliveira,DF,28,29,0,1,835,1226,13,32,8,2,143,679,804,45,23
Papakouli Diop,MF,34,28,1,1,605,882,31,15,22,6,56,214,700,206,26
Edu Expósito,MF,23,27,0,3,853,1162,88,16,31,4,24,183,779,496,45
Bryan Gil,"MF,FW",19,26,4,3,682,1007,104,12,11,5,9,115,406,826,84
Alejandro Pozo Pozo,"DF,MF",21,24,0,0,829,1161,42,17,15,6,43,316,649,412,15
Takashi Inui,"MF,FW",32,22,1,0,353,531,43,6,3,4,10,71,265,429,48
Pedro Bigas,DF,29,19,0,0,474,676,9,7,4,0,63,376,375,72,14
Sergio Álvarez,"MF,DF",28,17,0,0,531,698,19,13,26,3,35,187,544,143,19
Sergi Enrich,FW,30,13,3,0,338,450,45,6,7,8,7,41,266,333,94
Rober Correa,DF,27,13,0,2,436,636,24,8,6,2,32,221,371,183,10
Yoshinori Mutō,"FW,MF",28,13,1,1,151,230,27,1,4,7,5,21,129,213,42
Rafa Soares,DF,25,12,0,1,487,706,28,16,8,4,36,213,390,239,12
Esteban Burgos,DF,28,12,3,1,417,558,6,4,3,0,73,317,347,17,12
Kévin Rodrigues,"DF,MF",26,11,1,1,358,554,26,8,5,3,20,134,313,239,13
José Ángel,DF,30,11,0,0,510,692,20,9,4,2,24,172,401,212,3
Pedro León,"MF,FW",33,10,1,2,207,365,34,3,3,3,3,43,164,265,16
Miguel Atienza,MF,21,9,0,0,271,341,6,5,15,0,15,64,262,99,7
Recio,MF,29,8,1,0,354,439,38,4,8,5,4,43,261,227,17
Aleix García,MF,23,5,0,1,227,279,16,2,2,1,5,37,193,83,4
Yoel,GK,31,3,0,0,75,119,0,0,0,0,86,122,1,0,0
Damian Kądzior,"FW,MF",28,2,0,0,44,76,4,0,1,0,0,7,21,63,4
Álvaro Tejero,DF,24,1,0,0,76,99,4,0,0,1,4,26,50,40,0
Unai Dufur,DF,21,1,0,0,36,48,0,2,0,0,1,13,25,13,0
Eñaut Mendía,FW,21,1,0,0,4,11,0,2,0,0,0,6,6,6,1
Quique,"FW,MF",30,0,0,0,35,49,2,0,0,0,0,2,28,34,6
Unai Arietaleanizbeaskoa,"FW,MF",21,0,0,0,4,7,1,0,0,1,0,0,6,8,0
Sergio Cubero Ezcurra,MF,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Roberto Olabe del Arco,MF,24,0,,,11810,16890,758,228,204,82,1764,5553,9562,5924,671
Unai Ayala,GK,16,0,,,12572,17650,598,285,196,38,2897,9306,8407,4147,603
