SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0
0,1,undirected,0.8420887754631128
0,2,undirected,0.585187881854796
0,3,undirected,0.7429194818817562
0,4,undirected,0.5814481921733684
0,5,undirected,0.8033009113959314
0,6,undirected,0.6914312668198884
0,7,undirected,0.6830920808077884
0,8,undirected,0.7414466047704689
0,9,undirected,0.730312522128745
0,10,undirected,0.6703256060446475
0,11,undirected,0.6207332427299246
0,12,undirected,0.8257297166949319
0,13,undirected,0.7524358607135762
0,14,undirected,0.6061321538530078
0,15,undirected,0.7015595420899743
0,16,undirected,0.6159353782072514
0,17,undirected,0.6968705395881205
0,18,undirected,0.9138480210302704
0,19,undirected,0.576158288378319
0,20,undirected,0.5762470021312306
0,21,undirected,0.642300155795349
0,22,undirected,0.7674839963778304
0,23,undirected,0.6957101756977742
0,24,undirected,0.998605527895492
0,25,undirected,0.5793640127791718
0,26,undirected,0.8054819106690752
0,27,undirected,0.6726062385057493
0,28,undirected,0.9070385983723878
0,29,undirected,0.7441622564795437
0,30,undirected,0.5229687228867573
0,31,undirected,0.7587472813369089
0,32,undirected,0.7913134281232319
1,1,undirected,0.9999999999999998
1,2,undirected,0.8290256847047888
1,3,undirected,0.9797334562673952
1,4,undirected,0.7994015988917655
1,5,undirected,0.9946304833308242
1,6,undirected,0.9565167029635812
1,7,undirected,0.9426486555716092
1,8,undirected,0.9643772908300786
1,9,undirected,0.9570185299090552
1,10,undirected,0.9362242355351784
1,11,undirected,0.872542040701643
1,12,undirected,0.998428842963296
1,13,undirected,0.9626029676507782
1,14,undirected,0.8513813820629194
1,15,undirected,0.9627579685750306
1,16,undirected,0.8503782106853
1,17,undirected,0.9283916166559878
1,18,undirected,0.985747930446278
1,19,undirected,0.8108955941500091
1,20,undirected,0.8297418688157309
1,21,undirected,0.9182853832495894
1,22,undirected,0.9782114549157036
1,23,undirected,0.9593285214643518
1,24,undirected,0.8216378426679193
1,25,undirected,0.8394800503334122
1,26,undirected,0.9954214274568048
1,27,undirected,0.8840989119478809
1,28,undirected,0.9769766065182266
1,29,undirected,0.9710468205334088
1,30,undirected,0.7965682251561382
1,31,undirected,0.9685077268395312
1,32,undirected,0.9795322843097496
2,2,undirected,1.0
2,3,undirected,0.8923799656245092
2,4,undirected,0.9939885774588906
2,5,undirected,0.8756155211067327
2,6,undirected,0.924810678152728
2,7,undirected,0.9554586322728188
2,8,undirected,0.9442109630303972
2,9,undirected,0.9509303973513338
2,10,undirected,0.956939608435548
2,11,undirected,0.99461330545091
2,12,undirected,0.8528843679094666
2,13,undirected,0.946891667521026
2,14,undirected,0.99779479946216
2,15,undirected,0.9190422853852116
2,16,undirected,0.9978247262836032
2,17,undirected,0.9731016716185164
2,18,undirected,0.7747890982198885
2,19,undirected,0.9858252518121368
2,20,undirected,0.9777656862383636
2,21,undirected,0.9688428997531549
2,22,undirected,0.9214658025365476
2,23,undirected,0.9274882611159676
2,24,undirected,0.5643978923752484
2,25,undirected,0.9641455335691026
2,26,undirected,0.8285081358492492
2,27,undirected,0.9789379470992084
2,28,undirected,0.748650334982467
2,29,undirected,0.8798598247653217
2,30,undirected,0.9825110258492322
2,31,undirected,0.9404718058970598
2,32,undirected,0.9178094677564708
3,3,undirected,1.0000000000000002
3,4,undirected,0.8573750774995678
3,5,undirected,0.9917891342928592
3,6,undirected,0.9924342018877352
3,7,undirected,0.9828940885700924
3,8,undirected,0.9864020430647746
3,9,undirected,0.9824567129802668
3,10,undirected,0.982194779447833
3,11,undirected,0.9304852107827324
3,12,undirected,0.9869449285200874
3,13,undirected,0.98189881626487
3,14,undirected,0.9101295021262308
3,15,undirected,0.9965342439135114
3,16,undirected,0.9039709193338812
3,17,undirected,0.965773383565526
3,18,undirected,0.9362202263763432
3,19,undirected,0.8724154304543761
3,20,undirected,0.8966709495976534
3,21,undirected,0.9716460133336212
3,22,undirected,0.9891353787085366
3,23,undirected,0.9945371471165924
3,24,undirected,0.721138026457275
3,25,undirected,0.90407030754844
3,26,undirected,0.9809777251502864
3,27,undirected,0.924437033715327
3,28,undirected,0.9170567167356564
3,29,undirected,0.9788258407686502
3,30,undirected,0.873411927461786
3,31,undirected,0.9881236655974984
3,32,undirected,0.9908966675618108
4,4,undirected,0.9999999999999998
4,5,undirected,0.8455580905327257
4,6,undirected,0.8898080774383769
