ID,LABEL
0,Luis Rioja
1,Joselu
2,Fernando Pacheco
3,Víctor Laguardia
4,Rubén Duarte
5,Florian Lejeune
6,Mamadou Loum
7,Martin Agirregabiria
8,Édgar Méndez
9,Toni Moya
10,Pere Pons
11,Tomás Pina Isla
12,Ximo Navarro
13,Gonzalo Escalante
14,Nahuel Tenaglia
15,Manu García
16,Miguel
17,Jason
18,Matt Miazga
19,Facundo Pellistri
20,Javi López
21,Mamadou Sylla
22,Antonio Sivera
23,Manu Vallejo
24,John Guidetti
25,Tachi
26,Iván Martín
27,Jesús Owono
28,Marc Tenas
29,Mircea Ţîrlea
30,Unai Ropero
31,Tomás Mendes
32,Saúl García
33,Abdel Abqar
34,Alex Balboa
