ID,LABEL
0,Thibaut Courtois
1,Éder Militão
2,Karim Benzema
3,Casemiro
4,Vinicius Júnior
5,David Alaba
6,Toni Kroos
7,Luka Modrić
8,Lucas Vázquez
9,Ferland Mendy
10,Federico Valverde
11,Marco Asensio
12,Nacho
13,Dani Carvajal
14,Rodrygo
15,Eduardo Camavinga
16,Eden Hazard
17,Marcelo
18,Jesús Vallejo
19,Gareth Bale
20,Mariano
21,Isco
22,Miguel Gutiérrez
23,Dani Ceballos
24,Andriy Lunin
25,Luka Jović
26,Antonio Blanco
27,Peter Federico
28,Mario Gila
29,Sergio Santos
30,Juanmi Latasa
31,Toni Fuidias
32,Luis López
