Jogador,Luis Rioja,Joselu,Fernando Pacheco,Víctor Laguardia,Rubén Duarte,Florian Lejeune,Mamadou Loum,Martin Agirregabiria,Édgar Méndez,Toni Moya,Pere Pons,Tomás Pina Isla,Ximo Navarro,Gonzalo Escalante,Nahuel Tenaglia,Manu García,Miguel,Jason,Matt Miazga,Facundo Pellistri,Javi López,Mamadou Sylla,Antonio Sivera,Manu Vallejo,John Guidetti,Tachi,Iván Martín,Jesús Owono,Marc Tenas,Mircea Ţîrlea,Unai Ropero,Tomás Mendes,Saúl García,Abdel Abqar,Alex Balboa
Luis Rioja,1.0000000000000002,0.9817782941865241,0.5979523049427835,0.826135365109285,0.9414125279021169,0.8312764734017888,0.8824614352815094,0.937506809457548,0.9927993714580556,0.94847964354475,0.9397850769140946,0.9060211084396164,0.9064181971939269,0.9182438206968746,0.9136460298852165,0.9433466472424947,0.9860405366484513,0.9969793029262811,0.8092357076980873,0.9860408086506443,0.9104577273760897,0.9936498186445827,0.5849313596266487,0.9874476919763191,0.9890185250219047,0.860804853992,0.9561451942988132,0.5739640321772883,0.9927462192259451,0.9046401001987576,0.6302469701067082,0.815715605174915,0.6546483237099767,0.9321015844752606,0.934377513419433
Joselu,0.9817782941865241,1.0,0.5648770135195753,0.8446287949079387,0.951659132773648,0.8482056171963452,0.9286986971332419,0.9520820150217845,0.9922996655794505,0.9738063511770656,0.9742059806651052,0.9447468391369377,0.9242469268230618,0.9577810932933201,0.9218816990578796,0.9761257024070685,0.9813892419181952,0.9756094093586729,0.8136284104140676,0.9865357966470534,0.9386060358927711,0.9863244135136676,0.5528009649697341,0.9950374017275796,0.9810070288612223,0.8826013720535093,0.9812946636506656,0.5396656939382452,0.9825494961099213,0.9368662467125918,0.7211078204463648,0.8913569700715659,0.5818550466371056,0.9445095043554401,0.9486041590580988
Fernando Pacheco,0.5979523049427835,0.5648770135195753,0.9999999999999999,0.8387539020764928,0.7393053206056773,0.8386686485357222,0.6878766709441477,0.725540049661134,0.6230756094207708,0.6657246923247536,0.636813116412351,0.6779140968648713,0.7719425402292502,0.6651487785483154,0.7790921275281455,0.6083704210248879,0.5138945729472426,0.6095499680511816,0.8844246179194188,0.6123397722499152,0.7251529016524876,0.5525992439511327,0.999414918977298,0.5702552627277958,0.52150028239577,0.8056523623155643,0.5955240111147759,0.9965980874023704,0.6595735942401687,0.722005402804244,0.4286679314412184,0.6299790325504024,0.8951738761633512,0.7699345984282717,0.7432752164000531
Víctor Laguardia,0.826135365109285,0.8446287949079387,0.8387539020764928,1.0000000000000002,0.9637312157229845,0.9997979944602927,0.9603914153346552,0.9633769678864323,0.8704083531954935,0.9355197922003803,0.9269969591329366,0.9555702304833303,0.9839523754888881,0.9424645796255385,0.98066328773898,0.9095349689620946,0.7711659563542845,0.8282887211016966,0.9944835790298168,0.8681649621830879,0.9717532393448153,0.7913694192023761,0.825437938780739,0.8473805256609648,0.7781808151901701,0.994623983738608,0.894472977151518,0.8148542636884253,0.8755105637520595,0.9661607127376697,0.7706949415706821,0.9211435293714402,0.8034746504749367,0.9719167504445254,0.9648109056147273
Rubén Duarte,0.9414125279021169,0.951659132773648,0.7393053206056773,0.9637312157229845,0.9999999999999998,0.9654352475256236,0.9769845419892915,0.9993938826255613,0.9672892184080669,0.9917743854515595,0.983670772678507,0.9858875058424,0.9947131039652379,0.9819188074252048,0.9945005548439014,0.9779301450342289,0.9023083465353224,0.9419441288298315,0.9463366418413649,0.9602328401104968,0.9942094036087159,0.9198891579359757,0.7250072597372321,0.954747254386936,0.9104813952257863,0.9800382613862688,0.973919731190201,0.713334824337905,0.9685454788087717,0.9887159815273936,0.7546815904231864,0.9310327086426727,0.7436949781263142,0.9976901914062997,0.9967342554504901
Florian Lejeune,0.8312764734017888,0.8482056171963452,0.8386686485357222,0.9997979944602927,0.9654352475256236,1.0,0.9608846866747842,0.9650703877199686,0.8741858013702988,0.9375606991448702,0.9290917066494814,0.9569577593880486,0.9850866923917935,0.9435797438616795,0.9814778246990755,0.9120596437889779,0.7772025895082169,0.8324368265700735,0.9947603195608365,0.8730870827951622,0.9727489255940525,0.7966096356534278,0.8253495459032141,0.8522822401433946,0.7844892884718175,0.993965532216414,0.8980151259488481,0.8137746439701056,0.880158211941642,0.9678790444067066,0.7696917288483354,0.9208517122961328,0.8033407078604758,0.9737118126149592,0.9672949643412093
Mamadou Loum,0.8824614352815094,0.9286986971332419,0.6878766709441477,0.9603914153346552,0.9769845419892915,0.9608846866747842,1.0,0.9806198343019357,0.9294025447622192,0.9830522047565226,0.9866581482645543,0.994692349390058,0.9852672812223177,0.9952492002593015,0.9750449522122383,0.9747632056186897,0.8603991907059616,0.879552171910802,0.9314130981646668,0.9319004991971034,0.9927260047736578,0.8709998704082857,0.6746524642725727,0.9255919468896935,0.8578466151116473,0.9759271124070501,0.9615392756535287,0.6612808930203213,0.9178434706905948,0.989749016843832,0.8651460505658419,0.9816970725022982,0.6618232911386817,0.9790610198486991,0.9770229323261314
Martin Agirregabiria,0.937506809457548,0.9520820150217845,0.725540049661134,0.9633769678864323,0.9993938826255613,0.9650703877199686,0.9806198343019357,1.0,0.9647773012196214,0.9937036959727141,0.9868145350904148,0.9902265325790195,0.9945807165299323,0.9842077937192203,0.992516181222551,0.9823266197978839,0.8999051051344801,0.9366884020775872,0.9433480755132434,0.9584092480503611,0.9961808393383561,0.9163962842931392,0.7108099856891542,0.9549795093755729,0.9097115421301779,0.9793659797303015,0.9779071367082983,0.6977568009956061,0.965502214322912,0.9919748471230679,0.7633136342988811,0.9389483518257395,0.7250746240347835,0.9964419578750113,0.9975863279577936
Édgar Méndez,0.9927993714580556,0.9922996655794505,0.6230756094207708,0.8704083531954935,0.9672892184080669,0.8741858013702988,0.9294025447622192,0.9647773012196214,1.0,0.9759032480130025,0.9710242827367231,0.9442889728465202,0.9415860020502963,0.9577175087394513,0.9455280147379379,0.9692590473069363,0.9791947780046946,0.9905579826588242,0.849037046730142,0.9943998605798632,0.9471743026107107,0.9880528119663298,0.6101035954392557,0.9937399680878706,0.9773189062083051,0.9042268209250464,0.97569478242693,0.6002768437797885,0.9937284411119233,0.9404759008217253,0.7077477344867733,0.8731019910354376,0.6666266115382108,0.9604563411786768,0.9597721190205595
Toni Moya,0.94847964354475,0.9738063511770656,0.6657246923247536,0.9355197922003803,0.9917743854515595,0.9375606991448702,0.9830522047565226,0.9937036959727141,0.9759032480130025,1.0000000000000002,0.9974038505689998,0.9926419713449578,0.9822820183673017,0.9919853508728441,0.9766978596893501,0.9956860789369437,0.9240951539500801,0.9457137149899664,0.9073155158661681,0.9712540712075488,0.9915173555394989,0.9375032453476592,0.651935496559727,0.974320955351356,0.9307272889515118,0.9589970112473818,0.9919170725965559,0.6373072053907918,0.9716242312100238,0.9896385773174626,0.786164609192434,0.9521679697171084,0.6585245149669449,0.9875326668513565,0.9905453157468638
