Jogador,Thibaut Courtois,Éder Militão,Karim Benzema,Casemiro,Vinicius Júnior,David Alaba,Toni Kroos,Luka Modrić,Lucas Vázquez,Ferland Mendy,Federico Valverde,Marco Asensio,Nacho,Dani Carvajal,Rodrygo,Eduardo Camavinga,Eden Hazard,Marcelo,Jesús Vallejo,Gareth Bale,Mariano,Isco,Miguel Gutiérrez,Dani Ceballos,Andriy Lunin,Luka Jović,Antonio Blanco,Peter Federico,Mario Gila,Sergio Santos,Juanmi Latasa,Toni Fuidias,Luis López
Thibaut Courtois,0.9999999999999999,0.8420887754631128,0.585187881854796,0.7429194818817562,0.5814481921733684,0.8033009113959314,0.6914312668198884,0.6830920808077884,0.7414466047704689,0.730312522128745,0.6703256060446475,0.6207332427299246,0.8257297166949319,0.7524358607135762,0.6061321538530078,0.7015595420899743,0.6159353782072514,0.6968705395881205,0.9138480210302705,0.576158288378319,0.5762470021312306,0.642300155795349,0.7674839963778304,0.6957101756977742,0.9986055278954921,0.5793640127791718,0.8054819106690752,0.6726062385057493,0.9070385983723878,0.7441622564795437,0.5229687228867573,0.7587472813369089,0.7913134281232319
Éder Militão,0.8420887754631128,0.9999999999999998,0.8290256847047888,0.9797334562673952,0.7994015988917655,0.9946304833308242,0.9565167029635813,0.9426486555716092,0.9643772908300786,0.9570185299090552,0.9362242355351785,0.872542040701643,0.9984288429632961,0.9626029676507782,0.8513813820629194,0.9627579685750306,0.8503782106853,0.9283916166559878,0.985747930446278,0.8108955941500091,0.8297418688157309,0.9182853832495894,0.9782114549157035,0.9593285214643518,0.8216378426679193,0.8394800503334122,0.9954214274568047,0.8840989119478809,0.9769766065182266,0.9710468205334087,0.7965682251561382,0.9685077268395313,0.9795322843097495
Karim Benzema,0.585187881854796,0.8290256847047888,1.0,0.8923799656245092,0.9939885774588906,0.8756155211067327,0.9248106781527279,0.9554586322728187,0.9442109630303973,0.9509303973513338,0.956939608435548,0.9946133054509101,0.8528843679094666,0.946891667521026,0.9977947994621601,0.9190422853852115,0.9978247262836033,0.9731016716185164,0.7747890982198885,0.9858252518121369,0.9777656862383636,0.9688428997531549,0.9214658025365475,0.9274882611159677,0.5643978923752484,0.9641455335691026,0.8285081358492492,0.9789379470992083,0.748650334982467,0.8798598247653217,0.9825110258492322,0.9404718058970598,0.9178094677564709
Casemiro,0.7429194818817562,0.9797334562673952,0.8923799656245092,1.0000000000000002,0.8573750774995678,0.9917891342928593,0.9924342018877352,0.9828940885700923,0.9864020430647746,0.9824567129802668,0.982194779447833,0.9304852107827323,0.9869449285200874,0.98189881626487,0.9101295021262309,0.9965342439135114,0.9039709193338811,0.9657733835655261,0.9362202263763432,0.8724154304543761,0.8966709495976534,0.9716460133336213,0.9891353787085366,0.9945371471165924,0.721138026457275,0.9040703075484401,0.9809777251502863,0.924437033715327,0.9170567167356563,0.9788258407686502,0.873411927461786,0.9881236655974983,0.9908966675618107
Vinicius Júnior,0.5814481921733684,0.7994015988917655,0.9939885774588906,0.8573750774995678,0.9999999999999998,0.8455580905327257,0.8898080774383769,0.9286508556319104,0.9220151923526742,0.929263390521039,0.9296544188525593,0.9826956538088876,0.8226927180743842,0.9276261917845819,0.9920391303960365,0.8851827528234057,0.9926589221467279,0.9554769232773537,0.7553558558748111,0.9877372634409941,0.9700359212045927,0.9432411226405145,0.8977035265048694,0.8950042604502326,0.5610713528348509,0.953574575480281,0.8008382420032224,0.9771167065058439,0.7306358827681476,0.8501278336486484,0.9696855695668953,0.9176871131640371,0.894619960230955
David Alaba,0.8033009113959314,0.9946304833308242,0.8756155211067327,0.9917891342928593,0.8455580905327257,0.9999999999999998,0.9804676862742024,0.9713026761027058,0.9849206098971686,0.98055419269497,0.9658434589994225,0.913651180517239,0.9986363675173764,0.9827534841691707,0.893338517277673,0.9829628723714139,0.8937115431076511,0.9588990497611631,0.9676635491069584,0.85188415659962,0.8676657263327038,0.9522837857556286,0.9933590240199753,0.9814841752504578,0.781876831228399,0.8739523089703687,0.9907998686079279,0.9152645707425767,0.9566788716121128,0.9839698808102468,0.8441209175336224,0.9871362619098365,0.9905740569725805
Toni Kroos,0.6914312668198884,0.9565167029635813,0.9248106781527279,0.9924342018877352,0.8898080774383769,0.9804676862742024,0.9999999999999998,0.9954098786727209,0.9905048847441775,0.9905981354044099,0.9943917926815887,0.9559463652991429,0.9700907314269636,0.9858109469402122,0.9358668856021062,0.9980066469119586,0.9342945108087516,0.9808737789881515,0.9007867052120327,0.8940656699698338,0.9123264765884074,0.9885127333307668,0.9884593014644959,0.9986147465440386,0.6689328573158023,0.9152599777500773,0.9569887306173681,0.9380619828658645,0.8821408484150914,0.9783572824551412,0.903040886933151,0.9897944514439825,0.9823595430752514
Luka Modrić,0.6830920808077884,0.9426486555716092,0.9554586322728187,0.9828940885700923,0.9286508556319104,0.9713026761027058,0.9954098786727209,0.9999999999999998,0.9952228517864434,0.9965581869566481,0.9989887613520297,0.9789949875866978,0.9581817930660675,0.9927633344923275,0.964353503971098,0.9926927843228309,0.9630416574613709,0.9944198098489594,0.8890824523321093,0.9300543416023573,0.9396612789816886,0.9966480572012409,0.9886869078945009,0.9951863342222274,0.6601315871885206,0.9376786894175649,0.9432802710164231,0.9630815709958099,0.8696196525523631,0.9694391392809549,0.9315988877637417,0.9933911365730124,0.9828102936476351
Lucas Vázquez,0.7414466047704689,0.9643772908300786,0.9442109630303973,0.9864020430647746,0.9220151923526742,0.9849206098971686,0.9905048847441775,0.9952228517864434,1.0000000000000002,0.999299454100684,0.9919931212126789,0.9696652800709197,0.9755895888543505,0.9994379416987197,0.956193367411628,0.9900670967538888,0.9556723130133714,0.9931583148820943,0.9257256140402398,0.9242267164197717,0.929885303494541,0.9865767410993124,0.9976203589037523,0.9918845585978443,0.7186565037561954,0.9279089181406724,0.963244736060912,0.9635454001177969,0.9099554181987656,0.9753171424697242,0.9147949068670306,0.9992013850949449,0.9933758795175447
Ferland Mendy,0.730312522128745,0.9570185299090552,0.9509303973513338,0.9824567129802668,0.929263390521039,0.98055419269497,0.9905981354044099,0.9965581869566481,0.999299454100684,1.0000000000000002,0.9933667217136842,0.9744188563705453,0.9700659361435834,0.9988279961096658,0.961087780565121,0.9885905781340432,0.9621738692399147,0.9951916770352276,0.9159794955892069,0.9273743092765927,0.9313504816025656,0.9890437814240848,0.9959337057730682,0.9911915212124751,0.7079808799260359,0.9288761325075656,0.9555783563431577,0.9658950671718841,0.8999017187207057,0.9742567040539916,0.9197168555098133,0.99818333879999,0.9896007832205637
Federico Valverde,0.6703256060446475,0.9362242355351785,0.956939608435548,0.982194779447833,0.9296544188525593,0.9658434589994225,0.9943917926815887,0.9989887613520297,0.9919931212126789,0.9933667217136842,1.0,0.9801903316413165,0.9523467722020124,0.989084580751434,0.9663745830646285,0.9932131404581805,0.9625103840857298,0.9922758790452114,0.8796945966076036,0.9342792691036378,0.947242857109639,0.9984322369871327,0.9838395322539297,0.9953926896947735,0.6482276460344034,0.9466862841679287,0.938367166939742,0.9642631009696733,0.856353243717499,0.963864947958684,0.9375250093880937,0.990757451580864,0.9810908939228005
Marco Asensio,0.6207332427299246,0.872542040701643,0.9946133054509101,0.9304852107827323,0.9826956538088876,0.913651180517239,0.9559463652991429,0.9789949875866978,0.9696652800709197,0.9744188563705453,0.9801903316413165,1.0000000000000004,0.893804501468281,0.9709495562078138,0.9970468889713728,0.9517198225332935,0.9950375270979304,0.9900874520505265,0.818288842570985,0.9793210186162026,0.9754265203762872,0.9870810272825092,0.9514281444383087,0.9580295571860804,0.5988241053251593,0.9642028684794224,0.8733731117449444,0.9841712472066136,0.7931615686208732,0.91435729681669,0.9732907248401862,0.9662295042481486,0.9483155883949071
Nacho,0.8257297166949319,0.9984288429632961,0.8528843679094666,0.9869449285200874,0.8226927180743842,0.9986363675173764,0.9700907314269636,0.9581817930660675,0.9755895888543505,0.9700659361435834,0.9523467722020124,0.893804501468281,1.0,0.9736300883087771,0.8726158011698658,0.9742227919815384,0.8727253283402154,0.9445830589820411,0.9778135823669484,0.8305263237009392,0.8479358193433801,0.936425991484501,0.9869033764874263,0.9717808495288305,0.8053571710615718,0.8562654240623392,0.9937136983691687,0.8997151571614811,0.9673875232835345,0.9789459070584183,0.8201569966836396,0.979051583207876,0.9860679337135626
Dani Carvajal,0.7524358607135762,0.9626029676507782,0.946891667521026,0.98189881626487,0.9276261917845819,0.9827534841691707,0.9858109469402122,0.9927633344923275,0.9994379416987197,0.9988279961096658,0.989084580751434,0.9709495562078138,0.9736300883087771,1.0,0.95863070100878,0.9853765972464175,0.9586441119329234,0.9939753907198928,0.9280829275132116,0.9284581823552698,0.9305926545271469,0.9837219427159217,0.9968258948623937,0.9874612203187927,0.7300280484202071,0.9269917985420228,0.960472633486494,0.9664648369124396,0.912562771782977,0.9710858177419872,0.9148176218726383,0.9987519370424581,0.9930871159818646
Rodrygo,0.6061321538530078,0.8513813820629194,0.9977947994621601,0.9101295021262309,0.9920391303960365,0.893338517277673,0.9358668856021062,0.964353503971098,0.956193367411628,0.961087780565121,0.9663745830646285,0.9970468889713728,0.8726158011698658,0.95863070100878,1.0000000000000002,0.9333862862538398,0.9967403231743037,0.9800146314999173,0.8000052583284809,0.9901519957789076,0.9842280279181659,0.9759945811622541,0.9354314931854913,0.9406901735231884,0.5845841201180016,0.9730660927994902,0.853903938915433,0.9866418638876047,0.7735792288916571,0.8936313360821273,0.9811324538671791,0.9527615327447451,0.9344381829622604
Eduardo Camavinga,0.7015595420899743,0.9627579685750306,0.9190422853852115,0.9965342439135114,0.8851827528234057,0.9829628723714139,0.9980066469119586,0.9926927843228309,0.9900670967538888,0.9885905781340432,0.9932131404581805,0.9517198225332935,0.9742227919815384,0.9853765972464175,0.9333862862538398,1.0000000000000002,0.9278863279943318,0.9772719917112881,0.9100009950594536,0.8965151392778864,0.9182350349600203,0.9865343356158509,0.9884939748273549,0.9995746336039311,0.6795280512989387,0.9238400190914737,0.9658363093779349,0.939033496774699,0.8888422554452903,0.9760578735456343,0.9022795229500188,0.99033542134345,0.987178736696443
Eden Hazard,0.6159353782072514,0.8503782106853,0.9978247262836033,0.9039709193338811,0.9926589221467279,0.8937115431076511,0.9342945108087516,0.9630416574613709,0.9556723130133714,0.9621738692399147,0.9625103840857298,0.9950375270979304,0.8727253283402154,0.9586441119329234,0.9967403231743037,0.9278863279943318,1.0,0.9799794445131289,0.8010529508438018,0.9793390566365453,0.9700332448843326,0.9723485445377769,0.9365017100002277,0.9362563761732795,0.5945762015448436,0.9575422117717955,0.8495750528803928,0.9844342691908355,0.7792488625435192,0.9008123858714181,0.9723434802065942,0.9519696163243349,0.9296502523158147
Marcelo,0.6968705395881205,0.9283916166559878,0.9731016716185164,0.9657733835655261,0.9554769232773537,0.9588990497611631,0.9808737789881515,0.9944198098489594,0.9931583148820943,0.9951916770352276,0.9922758790452114,0.9900874520505265,0.9445830589820411,0.9939753907198928,0.9800146314999173,0.9772719917112881,0.9799794445131289,1.0,0.8836952879336316,0.9531702210354112,0.9508988880762274,0.9918204439383265,0.983732484040736,0.9812137453699814,0.674232526995441,0.9422090330938843,0.9262554694801193,0.9767165068710415,0.8647084298102212,0.9523263552894445,0.9434129808720009,0.9907859907597115,0.9787568919266494
Jesús Vallejo,0.9138480210302705,0.985747930446278,0.7747890982198885,0.9362202263763432,0.7553558558748111,0.9676635491069584,0.9007867052120327,0.8890824523321093,0.9257256140402398,0.9159794955892069,0.8796945966076036,0.818288842570985,0.9778135823669484,0.9280829275132116,0.8000052583284809,0.9100009950594536,0.8010529508438018,0.8836952879336316,1.0,0.7648931334746637,0.7754610228725549,0.8575067086203219,0.9450296087318564,0.9057634287893277,0.896629247842339,0.783549511594347,0.9752683536352473,0.8461782309249543,0.9950191489079748,0.931128027763034,0.7315168675365256,0.9326195177604032,0.951458985744928
Gareth Bale,0.576158288378319,0.8108955941500091,0.9858252518121369,0.8724154304543761,0.9877372634409941,0.85188415659962,0.8940656699698338,0.9300543416023573,0.9242267164197717,0.9273743092765927,0.9342792691036378,0.9793210186162026,0.8305263237009392,0.9284581823552698,0.9901519957789076,0.8965151392778864,0.9793390566365453,0.9531702210354112,0.7648931334746637,0.9999999999999998,0.989056800206828,0.9464159831606346,0.8989717219223085,0.9040401097583824,0.5547689994631598,0.9751507649760561,0.8161918887024302,0.9711718912608792,0.7343269248645726,0.8384053624847044,0.9828545208509631,0.9204581784463121,0.905626411920513
Mariano,0.5762470021312306,0.8297418688157309,0.9777656862383636,0.8966709495976534,0.9700359212045927,0.8676657263327038,0.9123264765884074,0.9396612789816886,0.929885303494541,0.9313504816025656,0.947242857109639,0.9754265203762872,0.8479358193433801,0.9305926545271469,0.9842280279181659,0.9182350349600203,0.9700332448843326,0.9508988880762274,0.7754610228725549,0.989056800206828,1.0,0.9590672480811124,0.9054963370326128,0.9237126504070604,0.5560925341897305,0.9957618397733307,0.8366578090501097,0.9730074317467895,0.7389587300771134,0.8606715790926034,0.9871838909688686,0.9292450433449723,0.9192651052022351
Isco,0.642300155795349,0.9182853832495894,0.9688428997531549,0.9716460133336213,0.9432411226405145,0.9522837857556286,0.9885127333307668,0.9966480572012409,0.9865767410993124,0.9890437814240848,0.9984322369871327,0.9870810272825092,0.936425991484501,0.9837219427159217,0.9759945811622541,0.9865343356158509,0.9723485445377769,0.9918204439383265,0.8575067086203219,0.9464159831606346,0.9590672480811124,0.9999999999999999,0.9752237046080288,0.9897784221714793,0.6200414418883281,0.9574766790696223,0.9212922545792385,0.96986784590271,0.8329558216728843,0.9542610446356404,0.9529077941846158,0.9847509135690657,0.9720485526246003
Miguel Gutiérrez,0.7674839963778304,0.9782114549157035,0.9214658025365475,0.9891353787085366,0.8977035265048694,0.9933590240199753,0.9884593014644959,0.9886869078945009,0.9976203589037523,0.9959337057730682,0.9838395322539297,0.9514281444383087,0.9869033764874263,0.9968258948623937,0.9354314931854913,0.9884939748273549,0.9365017100002277,0.983732484040736,0.9450296087318564,0.8989717219223085,0.9054963370326128,0.9752237046080288,1.0,0.989405907373616,0.7448553104314157,0.9058061711668182,0.9764418046171631,0.9479527565584912,0.9328753721384285,0.9820894680737359,0.8879824883878388,0.9973379651543768,0.9938420930286959
Dani Ceballos,0.6957101756977742,0.9593285214643518,0.9274882611159677,0.9945371471165924,0.8950042604502326,0.9814841752504578,0.9986147465440386,0.9951863342222274,0.9918845585978443,0.9911915212124751,0.9953926896947735,0.9580295571860804,0.9717808495288305,0.9874612203187927,0.9406901735231884,0.9995746336039311,0.9362563761732795,0.9812137453699814,0.9057634287893277,0.9040401097583824,0.9237126504070604,0.9897784221714793,0.989405907373616,1.0,0.6734996899345693,0.9285872584183958,0.9622556671916723,0.9448886499980004,0.885007288136755,0.976506096120587,0.9099365075383908,0.9917023408536572,0.9865735588150306
