Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Luis Rioja,"MF,FW",27,36,1,3,560,932,92,11,10,7,18,204,447,703,90
Joselu,FW,31,35,14,4,657,1104,83,1,9,6,51,109,733,647,159
Fernando Pacheco,GK,29,34,0,0,649,1032,9,2,0,0,923,1109,5,0,0
Víctor Laguardia,DF,31,34,3,2,930,1246,16,21,8,0,233,826,698,33,20
Rubén Duarte,DF,25,31,0,4,897,1352,58,43,27,6,101,535,737,415,16
Florian Lejeune,DF,30,30,0,0,908,1172,12,22,10,1,225,785,661,55,22
Mamadou Loum,MF,24,26,2,0,606,835,22,26,22,1,89,328,721,138,29
Martin Agirregabiria,DF,25,17,0,1,547,792,32,17,11,6,43,298,448,227,12
Édgar Méndez,"FW,MF",31,17,1,1,257,444,31,11,10,4,18,110,261,276,40
Toni Moya,MF,23,17,0,1,408,594,32,7,13,3,35,157,398,204,8
Pere Pons,MF,28,17,1,0,267,374,22,4,20,2,17,95,288,128,26
Tomás Pina Isla,MF,33,16,0,0,455,586,16,13,11,4,37,180,434,118,13
Ximo Navarro,DF,31,16,0,0,414,587,11,21,6,1,73,288,359,129,9
Gonzalo Escalante,MF,28,15,5,0,265,399,18,9,20,1,37,136,335,115,24
Nahuel Tenaglia,DF,25,12,0,0,305,485,19,30,9,3,44,255,269,121,8
Manu García,MF,23,10,0,1,437,578,47,6,9,3,9,92,412,202,9
Miguel,"FW,MF",21,10,1,1,103,161,22,1,5,1,4,22,108,147,44
Jason,"MF,FW",27,10,0,1,112,218,33,6,4,1,4,52,98,155,10
Matt Miazga,DF,26,9,0,0,244,321,4,3,4,0,84,254,155,18,11
Facundo Pellistri,"MF,FW",19,6,0,0,105,148,17,4,3,2,7,49,109,108,19
Javi López,DF,19,4,0,0,155,218,6,6,2,0,19,84,144,45,0
Mamadou Sylla,"FW,MF",27,4,0,0,41,74,3,0,1,1,5,9,42,60,10
Antonio Sivera,GK,24,3,0,0,66,107,0,0,0,0,103,115,0,0,0
Manu Vallejo,"MF,FW",24,2,1,1,81,114,8,1,4,3,3,17,77,77,8
John Guidetti,"FW,MF",29,2,0,0,54,75,11,0,0,2,0,4,39,61,15
Tachi,DF,23,2,0,0,59,94,1,3,3,0,13,52,54,8,1
Iván Martín,"MF,FW",22,2,0,0,51,65,1,1,0,0,0,9,44,28,1
Jesús Owono,GK,20,1,0,0,11,23,0,0,0,0,21,25,0,0,0
Marc Tenas,"FW,MF",20,0,0,0,14,21,2,1,0,0,2,5,10,13,1
Mircea Ţîrlea,DF,21,0,0,0,12,15,0,0,0,0,2,5,10,3,0
Unai Ropero,MF,19,0,0,0,1,1,0,0,0,0,0,1,3,0,0
Tomás Mendes,MF,16,0,0,0,4,5,0,0,0,0,1,1,5,0,0
Saúl García,MF,26,0,0,0,1,3,0,1,0,0,1,4,0,1,0
Abdel Abqar,DF,22,0,,,9676,14175,628,271,221,58,2222,6215,8104,4235,605
Alex Balboa,MF,20,0,,,15404,19908,905,249,193,69,2263,7419,10974,5796,897
