ID,LABEL
0,Édgar Badía
1,Gerard Gumbau
2,Carlos Clerc
3,Lucas Boyé
4,Omar Mascarell
5,Pedro Bigas
6,Tete Morente
7,Helibelton Palacios
8,Pere Milla
9,Fidel
10,Enzo Roco
11,John Donald
12,Raúl Guti
13,Lisandro Magallán
14,Randy Nteka
15,Josan
16,Lautaro Blanco
17,Gonzalo Verdú
18,Ezequiel Ponce
19,Diego González
20,Álex Collado
21,Roger Martí
22,Carmona
23,Pol Lirola
24,Nicolás Ezequiel Fernández
25,Johan Mojica
26,Domingos Quina
27,Axel Werner
28,Federico Fernández
29,Pape Cheikh Diop
30,Alejandro Alfaro
31,Javier Pastore
32,Manu Cocca
33,Jesús López
