Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Édgar Badía,GK,30,36,0,0,791,1072,3,1,0,0,1110,1188,2,0,0
Gerard Gumbau,MF,27,31,1,6,1112,1446,121,17,23,4,60,336,955,433,28
Carlos Clerc,"DF,MF",30,31,0,1,1040,1397,41,55,16,4,131,596,761,370,25
Lucas Boyé,FW,26,29,7,2,510,650,75,12,16,8,50,107,585,456,116
Omar Mascarell,"MF,DF",29,28,0,1,1091,1270,42,32,19,2,112,519,882,150,5
Pedro Bigas,DF,31,25,0,0,843,1053,14,30,7,0,174,681,569,63,19
Tete Morente,"MF,DF",25,23,4,0,571,785,53,18,13,2,40,190,379,509,60
Helibelton Palacios,DF,29,23,0,0,623,835,21,21,15,2,82,427,497,122,9
Pere Milla,"FW,MF",29,21,6,1,410,585,43,18,8,5,28,148,445,245,59
Fidel,"MF,FW",32,21,3,2,631,897,66,8,5,2,18,178,556,364,43
Enzo Roco,DF,29,19,0,0,587,719,12,23,10,0,113,486,376,37,15
John Donald,"MF,DF",21,13,0,0,356,427,6,9,9,2,49,236,273,33,7
Raúl Guti,MF,25,12,0,0,327,409,16,8,9,1,12,120,283,123,18
Lisandro Magallán,DF,28,11,0,0,325,391,9,11,5,3,77,302,163,20,11
Randy Nteka,"FW,MF",24,10,0,0,118,171,16,7,6,2,18,43,140,110,32
Josan,"DF,MF",32,9,1,3,424,539,25,20,5,0,20,211,276,178,16
Lautaro Blanco,"DF,MF",23,9,0,2,235,416,23,10,4,2,12,127,163,209,6
Gonzalo Verdú,DF,33,9,1,0,269,338,3,8,2,0,62,238,167,16,12
Ezequiel Ponce,"FW,MF",25,8,4,0,218,292,25,0,6,3,18,42,232,151,47
Diego González,DF,27,8,0,0,299,382,0,9,3,0,79,321,151,17,8
Álex Collado,MF,23,8,1,1,276,336,35,13,11,2,10,58,202,189,19
Roger Martí,FW,31,8,0,1,118,160,13,3,2,0,8,27,107,93,19
Carmona,"MF,DF",20,8,1,0,129,186,14,7,6,3,20,83,93,92,14
Pol Lirola,DF,24,7,1,0,240,325,19,9,3,1,18,126,159,117,8
Nicolás Ezequiel Fernández,"MF,DF",22,3,0,1,178,240,21,10,7,6,7,61,123,134,13
Johan Mojica,"DF,MF",29,3,0,0,127,178,3,5,1,0,12,65,76,70,4
Domingos Quina,MF,22,2,0,0,122,147,6,2,1,0,6,39,104,53,4
Axel Werner,GK,26,2,0,0,52,70,0,0,0,0,57,72,2,0,0
Federico Fernández,DF,33,1,0,0,8,14,0,1,0,0,11,24,5,1,0
Pape Cheikh Diop,MF,24,0,0,0,14,19,1,0,0,0,2,7,13,0,0
Alejandro Alfaro,MF,20,0,0,0,1,1,0,0,0,0,0,0,1,1,0
Javier Pastore,MF,33,0,0,0,6,8,0,0,0,0,0,0,3,7,2
Manu Cocca,DF,19,0,,,12051,15758,726,367,212,54,2416,7058,8743,4363,619
Jesús López,GK,19,0,,,15598,19238,984,293,265,98,2067,6449,10874,6360,932
