ID,LABEL
0,Carlos Neva
1,Ignasi Miquel
2,Gerard Gumbau
3,Lucas Boyé
4,Sergio Ruiz
5,Myrto Uzuni
6,Ricard Sánchez
7,Gonzalo Villar
8,Bryan Zaragoza
9,Miguel Ángel Rubio
10,Augusto Batalla
11,Bruno Méndez
12,Óscar Melendo
13,André Ferreira
14,Raúl Torrente
15,Facundo Pellistri
16,José Callejón
17,Kamil Jóźwiak
18,Antonio Puertas
19,Martin Hongla
20,Kamil Piątkowski
21,Álvaro Carreras
22,Raúl Fernández
23,Matias Arezo
24,Marc Martínez
25,Wilson Manafá
26,Faitout Maouassa
27,Theo Corbeanu
28,Víctor Díaz
29,Sergio Rodelas
30,Jesús Vallejo
31,Samu Omorodion
32,Njegoš Petrović
33,Famara Diedhiou
34,Shon Weissman
35,Brau
36,Adri Bosch
37,Pablo Saenz
38,Alberto Soro
39,Alberto Perea
40,Fran Árbol
41,Eghosa Bello
