Jogador,Carlos Neva,Ignasi Miquel,Gerard Gumbau,Lucas Boyé,Sergio Ruiz,Myrto Uzuni,Ricard Sánchez,Gonzalo Villar,Bryan Zaragoza,Miguel Ángel Rubio,Augusto Batalla,Bruno Méndez,Óscar Melendo,André Ferreira,Raúl Torrente,Facundo Pellistri,José Callejón,Kamil Jóźwiak,Antonio Puertas,Martin Hongla,Kamil Piątkowski,Álvaro Carreras,Raúl Fernández,Matias Arezo,Marc Martínez,Wilson Manafá,Faitout Maouassa,Theo Corbeanu,Víctor Díaz,Sergio Rodelas,Jesús Vallejo,Samu Omorodion,Njegoš Petrović,Famara Diedhiou,Shon Weissman,Brau,Adri Bosch,Pablo Saenz,Alberto Soro,Alberto Perea,Fran Árbol,Eghosa Bello
Carlos Neva,1.0000000000000002,0.9782072680106284,0.9839001849343099,0.907673655632384,0.990589099334217,0.8944971750245528,0.987071701354345,0.9866562392486228,0.8573151334898448,0.9796511341473914,0.7829662185455423,0.9967375372860563,0.960533999629142,0.766616148580429,0.9720880254037817,0.8841082263919242,0.9776626782770441,0.9571908033019663,0.9203641282835986,0.9925734038819292,0.9709200982429046,0.9825162822360611,0.7764542242825714,0.9249230386285942,0.786090749403312,0.9983010857356349,0.9544661937991624,0.9335945813662658,0.968528571056242,0.9246245408268889,0.9912438367037768,0.8605820946471747,0.9731814913440543,0.8108210937773375,0.8271767393646168,0.9460045340217954,0.9799280158377295,0.9415129662340614,0.749408606195779,0.9225496970223526,0.9968782687201023,0.9921155637891456
Ignasi Miquel,0.9782072680106284,1.0,0.9286269012763375,0.8223126685449823,0.9542213708577304,0.8109299693407396,0.9438575452699782,0.9385226716006196,0.7619186701419336,0.9996262377610502,0.8718689965226581,0.9839333970507298,0.8884695416996778,0.8584601765558559,0.9993052417773813,0.8018271800756636,0.9211087082033532,0.8872389185019276,0.8375255212509525,0.9636776259731344,0.9986926878856864,0.9343534125608289,0.8680255069361653,0.8394084668024767,0.8750882624494107,0.9748962121508545,0.9019390351026693,0.8571606144037304,0.9923309036151107,0.8547235579677052,0.9825381004369267,0.754989835884343,0.910462637253752,0.7202689344567615,0.720211232290218,0.9047645573572487,0.9958258264104931,0.918428840433349,0.650939106597926,0.8478398492181631,0.976080709546733,0.9523040862214492
Gerard Gumbau,0.9839001849343099,0.9286269012763375,0.9999999999999997,0.9482728073551694,0.9935964227093632,0.9272205983334785,0.9831321729587702,0.9978012062627265,0.8933956350424077,0.9325965971095204,0.6839698419496919,0.9772036880136439,0.9934779192378284,0.6664136647815925,0.9174970764356107,0.9072173044659809,0.9868315196688461,0.9781858341778974,0.9504520108841046,0.9888780976441688,0.9156591241604818,0.9841301487462963,0.6747550927151511,0.9675141751470464,0.6880707511340939,0.9798560373431602,0.9535457398948668,0.9592797925751626,0.9183336284352269,0.9410430532019379,0.9695827411272256,0.9227377860959883,0.9936937863607662,0.8430990263243041,0.883982627074439,0.9362885541171432,0.9392347483593185,0.9178251970703426,0.7787279942912155,0.9420922722049191,0.9806674833800054,0.9900925367857546
Lucas Boyé,0.907673655632384,0.8223126685449823,0.9482728073551694,1.0,0.9245833519915888,0.9909408586069802,0.947911451160304,0.9441619287316504,0.9706877713401432,0.8272609381964229,0.5802543111000322,0.8979085180841939,0.9595862197163527,0.5647450103560343,0.8043168811933025,0.9695478084969367,0.962720918924756,0.9827812196128438,0.9904194659665396,0.9045405855836043,0.8119273974704805,0.9618037738544413,0.5696646836844891,0.9944444534017213,0.5855502284556615,0.9111102618757914,0.9550284448544784,0.9897536677376859,0.8107744274814739,0.977548650982111,0.8674316848333642,0.9852791629034877,0.9686529689978008,0.9471151605677526,0.9840695688089004,0.9444095465935562,0.8302294295082191,0.8925867989555832,0.8874788412635393,0.9435256028214966,0.9222140310295487,0.9447761618350808
Sergio Ruiz,0.990589099334217,0.9542213708577304,0.9935964227093632,0.9245833519915888,1.0000000000000002,0.9021332547023612,0.9767321278684675,0.9978280522113927,0.8527433857597718,0.9578714599807702,0.7215975871741661,0.9877995463212127,0.9836675229655572,0.7065413216297297,0.9444797369980059,0.8755665423756891,0.9759714806573621,0.9591741410812452,0.9242844575182149,0.9984275990877542,0.9441384148866335,0.9763331528617036,0.7132205262804843,0.9443239100364532,0.7290489653524055,0.9849377983381349,0.9347351988134238,0.9348402720104387,0.9408562283848104,0.9208193924412859,0.9885820762791216,0.8909530781615352,0.9854842383908283,0.7991726411065054,0.8486851789280585,0.9242685011710867,0.9647119682644919,0.9153499992726224,0.7401881082461217,0.9192744013793913,0.9863562271540046,0.9885659615007378
Myrto Uzuni,0.8944971750245528,0.8109299693407396,0.9272205983334785,0.9909408586069802,0.9021332547023612,1.0,0.9458759778332819,0.9242666560167442,0.9835864655088818,0.8131883523930618,0.5790064298138162,0.8787723814135824,0.936274196134527,0.5642351068969678,0.7932646020794779,0.9870144768947132,0.9597157114700008,0.9790531865588256,0.9942133039598697,0.8820057230165582,0.8028348480581774,0.9580522312324083,0.5693646818647096,0.9775619163647232,0.5837965879346305,0.9029828476600462,0.9607147542411606,0.9837791546399189,0.7935100685660809,0.9891124860868243,0.8493403184407703,0.9781502225175415,0.9527453981337698,0.9667546901603823,0.9823878311143103,0.9556824819846984,0.8094014481414716,0.9086604275162323,0.932902994082417,0.9522058623137164,0.9112378949949583,0.9366260179323481
Ricard Sánchez,0.987071701354345,0.9438575452699782,0.9831321729587702,0.947911451160304,0.9767321278684675,0.9458759778332819,1.0,0.9826102565438839,0.9237297171169718,0.9441552346724477,0.746213259480109,0.9758252045952784,0.9669576638513127,0.7304891940630625,0.9345342587562705,0.9455174647362065,0.996527830686224,0.9873708234053074,0.9659864185028876,0.9725931160972596,0.9366360522947746,0.9981984575730334,0.738848004332511,0.9547427878819662,0.7489839547356667,0.990709349116273,0.9860173981219205,0.9705548146943659,0.9287616507557697,0.9689177710205783,0.962616932075104,0.9063656454351221,0.9855792548757009,0.8879243856581359,0.8913948996706726,0.979869429237356,0.9401115737173317,0.9617348214334936,0.8426504399329844,0.9640975711095258,0.9905934994495025,0.9971297791621714
Gonzalo Villar,0.9866562392486228,0.9385226716006196,0.9978012062627265,0.9441619287316504,0.9978280522113927,0.9242666560167442,0.9826102565438839,1.0,0.8811003750843431,0.9421061549046426,0.6963536696555503,0.9805224358240613,0.9920447980207479,0.680988450937851,0.9271652297113765,0.9003079835538206,0.9855252149638346,0.9737293358496802,0.9449448239431762,0.993544193730655,0.9274822816365331,0.9837841585505583,0.6873693699369602,0.9609118253388108,0.7035416604247796,0.9824894286461712,0.9470822616721368,0.9520274705978969,0.9236219493049295,0.9394748891271654,0.9784946048828949,0.9150638918850693,0.9939716408310401,0.8298250835873183,0.8779936599604554,0.9350708980045831,0.948352672920824,0.9197587008335184,0.7750986486739432,0.9384088641717583,0.984037224705907,0.991847469350002
Bryan Zaragoza,0.8573151334898448,0.7619186701419336,0.8933956350424077,0.9706877713401432,0.8527433857597718,0.9835864655088818,0.9237297171169718,0.8811003750843431,1.0000000000000002,0.7630021487172123,0.5479827478793686,0.8370086060253403,0.896932732006211,0.5296952495388552,0.7457943950306898,0.9944275679775136,0.9373833246245405,0.964335772288445,0.9858092072689955,0.8310221350238316,0.7530934088325203,0.9356315303396932,0.5388902420034817,0.9554114765994979,0.5454682304589407,0.8705629536798143,0.9616648515642319,0.977502353139226,0.7526203440754713,0.9785031004711731,0.7932045658901862,0.9546813444033363,0.9192952518968428,0.9911776907168814,0.9745842868852733,0.9473165021683524,0.756013749793113,0.8929882800423992,0.9457880754565422,0.9506527564726766,0.8751531738072819,0.9037601779939916
Miguel Ángel Rubio,0.9796511341473914,0.9996262377610502,0.9325965971095204,0.8272609381964229,0.9578714599807702,0.8131883523930618,0.9441552346724477,0.9421061549046426,0.7630021487172123,0.9999999999999996,0.8658032713805885,0.9865062518719929,0.8937151466569698,0.8519451127606577,0.998687280081229,0.801197362592222,0.9218016928962421,0.8890667907754141,0.8393392481659308,0.966977682082428,0.9977331083300132,0.9353560998101456,0.8617842995400389,0.8455545838715185,0.8690178938006796,0.9757221215982841,0.9016304028082961,0.8607624270786172,0.9936794039434732,0.8545543251074389,0.9841069874967914,0.7612392989154665,0.9137856261722999,0.7204115776741726,0.72500514236651,0.9031428464419207,0.9975016852658577,0.9145433445998031,0.646879498859605,0.8453766135292788,0.9771685488362657,0.9533856910148685
