Jogador,Federico Valverde,Antonio Rüdiger,Rodrygo,Jude Bellingham,Dani Carvajal,Toni Kroos,Aurélien Tchouaméni,Vinicius Júnior,Andriy Lunin,Eduardo Camavinga,Ferland Mendy,Nacho,Luka Modrić,Brahim Díaz,Joselu,Fran Garcia,Lucas Vázquez,David Alaba,Kepa Arrizabalaga,Éder Militão,Dani Ceballos,Arda Güler,Thibaut Courtois,Nicolás Paz,Gonzalo García,Mario Martín,Álvaro Rodríguez,Lucas Cañizares,Álvaro Carrillo
Federico Valverde,0.9999999999999998,0.9466445609041989,0.9203978729705371,0.9940574931357531,0.9902913763583563,0.9953978352478602,0.9848388573733837,0.874219116399602,0.673755648700203,0.9956355086507531,0.9925505216138681,0.9440957330885847,0.9988374252079713,0.9610174773270133,0.9587690589460525,0.9883074505705582,0.9866920402552568,0.9552418077106705,0.6776115090808779,0.9328666956387823,0.9986094293884339,0.9827300706025203,0.6684303478921951,0.983093371737715,0.9389340233952772,0.947162244560592,0.27820332761648986,0.9921975620272804,0.9790209056573063
Antonio Rüdiger,0.9466445609041989,0.9999999999999999,0.7953984447027294,0.9146449210033593,0.9641901535476062,0.964503152545513,0.9860227786069888,0.7360266101262734,0.8350704484770982,0.9701063217823441,0.9723517438558487,0.9994787792752264,0.9393593174794213,0.8483059959586202,0.8550029499471643,0.9574465398587503,0.9492402823397297,0.9991552886716042,0.8372926042357719,0.9979308071941464,0.9431528751381015,0.9044076435081574,0.83024667844071,0.8846337859241635,0.8554590153845966,0.9597249908888835,0.46863269200768676,0.9711079996930998,0.9836070223673395
Rodrygo,0.9203978729705371,0.7953984447027294,1.0,0.9555878899353777,0.92489670041031,0.881597733374102,0.8527460253713302,0.9902894686147377,0.5624862273330828,0.8912111520341657,0.9016220561751889,0.7995190812611396,0.9323920802957801,0.9910024888772111,0.9729955433443387,0.9321227691696978,0.9441587134459325,0.8179854514314493,0.5663971239179033,0.7899101709867778,0.9336207588461928,0.9741506287905881,0.5577690340920074,0.9492423304300477,0.9610258901236924,0.8175872196930654,0.1252070723720931,0.9131055279049672,0.8848517052931147
Jude Bellingham,0.9940574931357531,0.9146449210033593,0.9555878899353777,1.0000000000000002,0.984639650992052,0.9795450951695299,0.9623896231510646,0.9200351163824185,0.636170704647916,0.981982133877396,0.9802988965298174,0.9130413712382469,0.9959183743661258,0.9847703860680596,0.9808685693890454,0.9849325731710877,0.9870645990048924,0.9270435425535781,0.6402033989705844,0.9013246557632592,0.9956613305026706,0.9948476868788979,0.6307694442711792,0.9922871135124821,0.9611706162538886,0.9271923093142875,0.23738291103032827,0.9831380086314071,0.9647287127917373
Dani Carvajal,0.9902913763583563,0.9641901535476062,0.92489670041031,0.984639650992052,1.0,0.9854447901754378,0.984041338419001,0.8824098707684012,0.7466119755752857,0.9915026530617496,0.9962488862471826,0.9648906009931052,0.9911956373700891,0.9569893626540336,0.9514250702772652,0.9993438175038283,0.9981808732512493,0.9734438168624981,0.7500338451366755,0.9588475557468783,0.9935329270546673,0.9843304818206688,0.7411204680141456,0.9671333386703231,0.9479985998184886,0.9510596682161822,0.32693655560061846,0.9988888129189968,0.9931879219926831
Toni Kroos,0.9953978352478602,0.964503152545513,0.881597733374102,0.9795450951695299,0.9854447901754378,1.0,0.9944424848626393,0.8260256673150235,0.6917881222005805,0.9976227918262187,0.9941232574222739,0.9612620652587713,0.9920897304568131,0.9310512863557447,0.9304399479194918,0.9817423754790588,0.9769311225156098,0.9697889395118839,0.6954791045936136,0.9500424280781764,0.9918850616099906,0.9625917864538115,0.6863945195312805,0.9644136729227664,0.9095055327142766,0.9524898933785182,0.2964646468313701,0.9899017371262306,0.9802058345269888
Aurélien Tchouaméni,0.9848388573733837,0.9860227786069888,0.8527460253713302,0.9623896231510646,0.984041338419001,0.9944424848626393,1.0000000000000002,0.7964744022717216,0.7516659690737604,0.9957482542426804,0.9924479276898921,0.9832445181556375,0.9789381157556053,0.9055721420754445,0.9104953782029924,0.9785861200857858,0.9723829028349312,0.9885232543697362,0.7547854945587605,0.9758020754952015,0.9802461477933068,0.9468484524160402,0.7465104430013203,0.9428424689689939,0.89757554000581,0.9679206847998958,0.3810106258572624,0.9901072399374214,0.9898310509430415
Vinicius Júnior,0.874219116399602,0.7360266101262734,0.9902894686147377,0.9200351163824185,0.8824098707684012,0.8260256673150235,0.7964744022717216,0.9999999999999996,0.5178550170586151,0.8413827004769359,0.8491700268930378,0.7398341386869548,0.8876153587910456,0.9722501376406704,0.9624266719358697,0.8913567253699819,0.9064656645446586,0.7606594487237694,0.5219523967026729,0.7325550234467464,0.8887235626286075,0.946226363407427,0.5123247240689782,0.9221806674492667,0.960712437275284,0.7810155873457421,0.13628654713598282,0.8675327645651827,0.8413800086870887
Andriy Lunin,0.673755648700203,0.8350704484770982,0.5624862273330828,0.636170704647916,0.7466119755752857,0.6917881222005805,0.7516659690737604,0.5178550170586151,0.9999999999999999,0.7135574168089801,0.7352927465241302,0.8446339063807051,0.6665923340300899,0.587327468229955,0.5875394857188071,0.7369064556052676,0.7317458250818679,0.8311990302614872,0.999916302901313,0.8635584363228446,0.677205114251267,0.6581363400256457,0.9997676059253797,0.5865117580247801,0.6198807742013368,0.7479399310855197,0.6451627686359037,0.7537249153399206,0.799305113513841
Eduardo Camavinga,0.9956355086507531,0.9701063217823441,0.8912111520341657,0.981982133877396,0.9915026530617496,0.9976227918262187,0.9957482542426804,0.8413827004769359,0.7135574168089801,1.0000000000000002,0.9962034741202136,0.9674905742907112,0.9919189072700734,0.9378464151864454,0.9390960832209888,0.9881749635102506,0.9843240029279355,0.9758139863249933,0.7168638008559564,0.9586479962945127,0.9928693572482115,0.9693908120093273,0.7082853478273322,0.9673794095718422,0.9258818112073428,0.9656407665749044,0.3427431919132186,0.9949441330642798,0.9890101466900004
