Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Carlos Neva,DF,27,36,0,2,1291,1701,40,22,9,1,112,795,912,310,9
Ignasi Miquel,DF,30,33,1,1,1265,1549,28,39,6,2,262,1133,703,67,37
Gerard Gumbau,MF,28,31,0,3,1079,1504,83,21,30,4,44,396,1016,351,13
Lucas Boyé,FW,27,30,6,3,454,631,78,14,25,11,56,133,560,454,119
Sergio Ruiz,MF,28,30,0,4,1080,1283,47,43,36,4,81,486,927,199,26
Myrto Uzuni,FW,28,28,11,1,234,301,33,8,7,3,14,64,219,244,91
Ricard Sánchez,DF,23,25,3,0,820,1091,42,15,8,6,78,395,534,417,39
Gonzalo Villar,MF,25,21,1,3,775,937,50,26,20,5,46,294,674,215,24
Bryan Zaragoza,"MF,FW",22,18,6,2,248,444,69,8,6,4,1,67,242,386,74
Miguel Ángel Rubio,DF,25,17,1,0,622,775,6,14,6,0,128,567,381,30,17
Augusto Batalla,GK,27,17,0,0,445,689,6,0,0,0,581,719,14,2,2
Bruno Méndez,DF,23,15,2,0,452,636,13,19,12,5,67,341,376,88,13
Óscar Melendo,"MF,FW",25,15,0,0,328,409,18,4,10,0,6,65,332,118,11
André Ferreira,GK,27,14,0,0,359,498,2,0,0,0,473,541,1,0,0
Raúl Torrente,DF,21,14,0,0,605,764,7,20,9,0,121,580,321,15,9
Facundo Pellistri,"MF,FW",21,14,2,1,213,305,42,12,10,7,9,66,150,260,50
José Callejón,"MF,FW",36,7,0,1,286,368,33,10,3,0,19,101,199,150,20
Kamil Jóźwiak,MF,25,7,0,1,128,180,19,4,6,3,10,42,108,93,14
Antonio Puertas,"MF,FW",31,6,0,2,154,214,29,6,5,1,3,43,137,148,33
Martin Hongla,"MF,DF",25,6,0,0,237,283,3,2,5,0,18,113,191,27,1
Kamil Piątkowski,DF,23,6,0,0,197,230,2,16,1,1,43,185,102,15,5
Álvaro Carreras,"MF,FW",20,5,0,0,169,222,17,8,4,1,12,83,124,96,11
Raúl Fernández,GK,35,4,0,0,69,107,0,0,0,0,90,115,0,0,0
Matias Arezo,FW,20,3,0,0,52,82,5,2,5,0,5,14,70,45,11
Marc Martínez,GK,33,3,0,0,75,98,0,0,0,0,90,107,5,0,0
Wilson Manafá,"DF,MF",29,3,0,0,104,135,1,3,2,1,4,66,68,33,0
Faitout Maouassa,"DF,MF",25,2,0,1,58,97,6,6,1,1,6,35,41,53,5
Theo Corbeanu,"MF,FW",21,2,1,0,37,60,4,2,3,0,2,17,41,39,4
Víctor Díaz,"DF,MF",35,2,0,0,47,74,1,2,3,0,8,57,35,2,1
Sergio Rodelas,"FW,DF",18,2,0,1,27,33,6,1,0,2,0,10,19,24,6
Jesús Vallejo,DF,26,1,0,0,78,85,1,1,2,0,7,44,51,3,0
Samu Omorodion,FW,19,1,1,0,10,15,2,0,1,0,0,0,14,10,5
Njegoš Petrović,"MF,FW",24,0,0,0,67,81,4,4,1,0,6,20,59,31,1
Famara Diedhiou,"FW,MF",30,0,0,1,20,41,7,0,1,0,5,7,20,41,10
Shon Weissman,FW,27,0,0,0,10,13,2,0,0,1,1,1,13,14,3
Brau,DF,21,0,0,0,7,10,0,1,0,0,2,4,4,6,1
Adri Bosch,DF,22,0,0,0,11,14,0,1,0,0,2,10,8,0,0
Pablo Saenz,MF,22,0,0,0,5,7,0,2,0,1,1,3,2,3,1
Alberto Soro,MF,24,0,0,0,3,3,0,0,0,0,0,0,1,4,1
Alberto Perea,"MF,FW",32,0,0,0,6,7,2,0,0,0,0,1,3,4,0
Fran Árbol,GK,17,0,,,12127,15976,708,336,237,64,2413,7720,8677,3997,667
Eghosa Bello,FW,19,0,,,15485,19420,860,270,262,69,2136,6926,10791,6025,843
