Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
0,Luis Rioja,5,4.943638,4,0.461538,0.569444,0,0.069919,0.069918,0.032774,0,0,1,10,0.234835
1,Joselu,11,10.703273,3,0.692308,0.796296,13,0.213694,0.213694,0.059176,0,0,0.672727,37,0.696862
3,Víctor Laguardia,8,7.801967,3,0.580645,0.694444,1.75,0.171334,0.171334,0.043605,1,0,0.857143,24,0.549279
4,Rubén Duarte,14,13.695121,2,0.818182,0.888889,12.833333,0.310373,0.310373,0.06927,1,0,0.714286,65,1
5,Florian Lejeune,8,7.809471,3,0.580645,0.694444,1.75,0.171334,0.171334,0.043605,1,0,0.857143,24,0.549279
6,Mamadou Loum,11,10.773608,3,0.642857,0.777778,1.333333,0.257692,0.257692,0.055465,1,0,0.854545,47,0.826159
7,Martin Agirregabiria,14,13.708106,2,0.818182,0.888889,12.833333,0.310373,0.310373,0.06927,1,0,0.714286,65,1
8,Édgar Méndez,11,10.755222,3,0.692308,0.796296,13,0.213694,0.213694,0.059176,0,0,0.672727,37,0.696862
9,Toni Moya,12,11.826191,2,0.75,0.833333,4.75,0.282214,0.282214,0.059967,1,0,0.818182,54,0.909339
10,Pere Pons,12,11.798699,2,0.75,0.833333,4.75,0.282214,0.282214,0.059967,1,0,0.818182,54,0.909339
11,Tomás Pina Isla,11,10.81381,3,0.642857,0.777778,1.333333,0.257692,0.257692,0.055465,1,0,0.854545,47,0.826159
12,Ximo Navarro,12,11.801449,3,0.666667,0.805556,6.583333,0.264099,0.264099,0.060912,1,0,0.757576,50,0.847227
13,Gonzalo Escalante,12,11.757236,2,0.75,0.833333,4.75,0.282214,0.282214,0.059967,1,0,0.818182,54,0.909339
14,Nahuel Tenaglia,12,11.741458,3,0.666667,0.805556,6.583333,0.264099,0.264099,0.060912,1,0,0.757576,50,0.847227
15,Manu García,12,11.731322,2,0.75,0.833333,4.75,0.282214,0.282214,0.059967,1,0,0.818182,54,0.909339
16,Miguel,5,4.905122,4,0.461538,0.569444,0,0.069919,0.069918,0.032774,0,0,1,10,0.234835
17,Jason,5,4.920761,4,0.461538,0.569444,0,0.069919,0.069918,0.032774,0,0,1,10,0.234835
18,Matt Miazga,4,3.927282,4,0.439024,0.541667,0,0.077971,0.077972,0.025781,1,0,1,6,0.250058
19,Facundo Pellistri,11,10.714316,3,0.692308,0.796296,13,0.213694,0.213694,0.059176,0,0,0.672727,37,0.696862
