Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
1,Robert Lewandowski,5,4.929028,3,0.515152,0.607843,0.666667,0.050302,0.050302,0.034781,0,4,0.9,9,0.180817
2,Gavi,12,11.762607,2,0.772727,0.852941,13.866667,0.224547,0.224547,0.063406,0,4,0.636364,42,0.753535
3,Alejandro Balde,15,14.661392,2,0.894737,0.941176,13.283333,0.300781,0.300781,0.074584,1,1,0.695238,73,1
4,Frenkie de Jong,12,11.862971,3,0.73913,0.843137,0.75,0.27447,0.27447,0.059036,1,0,0.939394,62,0.90482
5,Jules Koundé,12,11.868437,3,0.73913,0.843137,0.75,0.27447,0.27447,0.059036,1,3,0.939394,62,0.90482
6,Sergio Busquets,12,11.851455,3,0.73913,0.843137,0.75,0.27447,0.27447,0.059036,1,6,0.939394,62,0.90482
7,Raphinha,7,6.855934,2,0.62963,0.705882,4.166667,0.097215,0.097215,0.043827,0,4,0.761905,16,0.337367
8,Pedri,15,14.626527,2,0.894737,0.941176,13.283333,0.300781,0.300781,0.074584,1,0,0.695238,73,1
9,Andreas Christensen,11,10.765108,3,0.68,0.803922,0,0.256959,0.256959,0.054512,1,5,1,55,0.845235
10,Ronald Araújo,11,10.814495,3,0.68,0.803922,0,0.256959,0.256959,0.054512,1,1,1,55,0.845235
11,Ousmane Dembélé,4,3.977907,3,0.435897,0.529412,0,0.032791,0.032791,0.029854,0,4,1,6,0.121232
12,Eric García,11,10.792377,3,0.68,0.803922,0,0.256959,0.256959,0.054512,1,2,1,55,0.845235
13,Sergi Roberto,12,11.852451,3,0.73913,0.843137,0.75,0.27447,0.27447,0.059036,1,3,0.939394,62,0.90482
14,Jordi Alba,14,13.728733,2,0.85,0.911765,8.25,0.293199,0.293199,0.069275,1,6,0.758242,69,0.972188
15,Ferrán Torres,8,7.826927,2,0.653846,0.735294,6.366667,0.120081,0.120081,0.04823,0,4,0.714286,20,0.413257
16,Ansu Fati,8,7.824772,2,0.653846,0.735294,6.366667,0.120081,0.120081,0.04823,0,4,0.714286,20,0.413257
17,Marcos Alonso,11,10.827394,3,0.68,0.803922,0,0.256959,0.256959,0.054512,1,5,1,55,0.845235
18,Franck Kessié,12,11.859403,3,0.73913,0.843137,0.75,0.27447,0.27447,0.059036,1,2,0.939394,62,0.90482
