Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
0,Kiké,8,7.86613,3,0.571429,0.675,0.624242,0.101939,0.101939,0.037107,0,0,0.892857,25,0.372139
2,Anaitz Arbilla,13,12.807541,3,0.714286,0.816667,2.164371,0.250389,0.250389,0.050642,1,0,0.858974,67,0.861944
3,Paulo Oliveira,9,8.763676,3,0.571429,0.691667,0,0.177452,0.177452,0.03706,1,0,1,36,0.608158
4,Papakouli Diop,14,13.727798,2,0.769231,0.85,3.53963,0.268946,0.268946,0.054073,1,0,0.835165,76,0.927989
5,Edu Expósito,15,14.730427,2,0.8,0.875,11.543382,0.263129,0.263129,0.059032,0,0,0.67619,71,0.920479
6,Bryan Gil,7,6.888133,3,0.555556,0.65,0.212121,0.082832,0.082832,0.033621,0,0,0.952381,20,0.30507
7,Alejandro Pozo Pozo,16,15.682864,2,0.833333,0.9,13.1211,0.288263,0.288263,0.061641,1,0,0.7,84,1
8,Takashi Inui,8,7.881738,3,0.571429,0.675,0.624242,0.101939,0.101939,0.037107,0,0,0.892857,25,0.372139
9,Pedro Bigas,10,9.743773,3,0.588235,0.716667,0.25,0.19511,0.19511,0.040452,1,0,0.955556,43,0.668781
10,Sergio Álvarez,14,13.753995,2,0.769231,0.85,3.53963,0.268946,0.268946,0.054073,1,0,0.835165,76,0.927989
11,Sergi Enrich,10,9.787814,2,0.666667,0.75,4.739046,0.143155,0.143155,0.04387,0,0,0.733333,33,0.514532
12,Rober Correa,14,13.805306,2,0.769231,0.85,3.53963,0.268946,0.268946,0.054073,1,0,0.835165,76,0.927989
13,Yoshinori Mutō,6,5.927183,3,0.526316,0.616667,0,0.063289,0.063289,0.030087,0,0,1,15,0.236117
14,Rafa Soares,15,14.733885,2,0.8,0.875,7.288698,0.279341,0.279341,0.057812,1,0,0.761905,80,0.966493
15,Esteban Burgos,9,8.752295,3,0.571429,0.691667,0,0.177452,0.177452,0.03706,1,0,1,36,0.608158
16,Kévin Rodrigues,16,15.680788,2,0.833333,0.9,17.658281,0.269144,0.269144,0.063111,0,0,0.633333,76,0.943955
17,José Ángel,14,13.798764,2,0.769231,0.85,3.53963,0.268946,0.268946,0.054073,1,0,0.835165,76,0.927989
18,Pedro León,9,8.817087,2,0.645161,0.725,2.406644,0.122871,0.122871,0.040499,0,0,0.805556,29,0.444623
19,Miguel Atienza,12,11.832109,2,0.714286,0.8,1.105192,0.243175,0.243175,0.047029,1,0,0.924242,61,0.840108
20,Recio,16,15.630506,2,0.833333,0.9,23.958707,0.255558,0.255558,0.06402,0,0,0.6,72,0.900262
21,Aleix García,11,10.876368,2,0.689655,0.775,0.145455,0.229008,0.229008,0.043558,1,0,0.981818,54,0.791838
