Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
1,Marc Roca,15,14.594393,2,0.758621,0.840909,3.162322,0.245317,0.245318,0.047154,0,0,0.828571,87,0.869871
2,Sergi Darder,15,14.69432,2,0.758621,0.840909,6.591708,0.229727,0.229726,0.048095,1,0,0.742857,78,0.823004
3,David López,15,14.699152,3,0.733333,0.833333,3.125313,0.241146,0.241147,0.047262,0,0,0.828571,87,0.853481
4,Dídac Vilà,16,15.722329,2,0.785714,0.863636,5.102799,0.254772,0.254772,0.050079,0,0,0.791667,95,0.90311
5,Bernardo Espinosa,9,8.791494,3,0.564103,0.674242,0,0.144409,0.144409,0.030866,0,0,1,36,0.508197
6,Wu Lei,8,7.834521,3,0.594595,0.674242,1.015977,0.093016,0.093016,0.030223,1,0,0.892857,25,0.341849
7,Jonathan Calleri,6,5.922478,3,0.488889,0.583333,0,0.059233,0.059233,0.024573,1,0,1,15,0.220703
8,Víctor Sánchez,16,15.667129,2,0.785714,0.863636,5.155681,0.2568,0.2568,0.050044,0,0,0.783333,94,0.912066
9,Leandro Cabrera,12,11.73779,3,0.647059,0.757576,0.416667,0.195627,0.195627,0.039,0,0,0.954545,63,0.689822
10,Adri Embarba,11,10.723872,2,0.666667,0.75,3.433145,0.141134,0.141133,0.03855,1,0,0.8,44,0.513853
11,Javi López,15,14.755498,3,0.733333,0.833333,3.125313,0.241146,0.241147,0.047262,0,0,0.828571,87,0.853481
12,Naldo,12,11.697896,3,0.647059,0.757576,0.416667,0.195627,0.195627,0.039,0,0,0.954545,63,0.689822
13,Victor Gomez,18,17.560512,2,0.846154,0.909091,12.668087,0.275494,0.275494,0.055955,0,0,0.705882,108,0.979705
14,Óscar Melendo,15,14.644824,2,0.758621,0.840909,6.591708,0.229727,0.229726,0.048095,1,0,0.742857,78,0.823004
15,Fernando Calero,12,11.694227,3,0.647059,0.757576,0.416667,0.195627,0.195627,0.039,0,0,0.954545,63,0.689822
16,Adrià Pedrosa,19,18.552541,2,0.88,0.931818,22.326232,0.280189,0.280189,0.059295,1,0,0.649123,111,1
17,Raúl de Tomás,15,14.632823,2,0.758621,0.840909,12.528008,0.208119,0.208118,0.049368,1,0,0.685714,72,0.75049
18,Matías Vargas,13,12.691018,2,0.709677,0.795455,7.1651,0.175378,0.175377,0.04396,1,0,0.730769,57,0.634979
19,Víctor Campuzano,9,8.804076,3,0.55,0.666667,1.052381,0.104753,0.104752,0.033107,1,0,0.861111,31,0.384363
20,Facundo Ferreyra,10,9.815519,3,0.628571,0.719697,1.835025,0.123097,0.123096,0.03584,1,0,0.844444,38,0.449864
21,Esteban Granero,16,15.680878,2,0.785714,0.863636,9.560756,0.235817,0.235816,0.051308,1,0,0.7,84,0.846262
22,Pipa,17,16.559372,2,0.814815,0.886364,7.893776,0.266254,0.266254,0.052967,0,0,0.75,102,0.945305
23,Lluis López,12,11.759992,3,0.647059,0.757576,0.416667,0.195627,0.195627,0.039,0,0,0.954545,63,0.689822
