Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
0,Carlos Neva,14,13.716298,2,0.791667,0.868421,19.331169,0.291308,0.291308,0.067102,0,0,0.648352,59,0.965453
1,Ignasi Miquel,7,6.877664,3,0.527778,0.640351,0.4,0.131079,0.13108,0.038106,0,0,0.904762,19,0.437244
2,Gerard Gumbau,11,10.817589,2,0.703704,0.789474,2.088636,0.267859,0.267859,0.052569,2,0,0.872727,48,0.884563
3,Lucas Boyé,8,7.788488,3,0.558824,0.675439,1.433333,0.151538,0.151538,0.042386,1,0,0.821429,23,0.506646
4,Sergio Ruiz,12,11.752212,2,0.730769,0.815789,7.666883,0.273345,0.273346,0.057503,2,0,0.757576,50,0.903867
5,Myrto Uzuni,7,6.852576,3,0.542857,0.649123,0.6,0.128314,0.128314,0.038208,1,0,0.904762,19,0.430238
6,Ricard Sánchez,11,10.793006,2,0.703704,0.789474,2.088636,0.267859,0.267859,0.052569,2,0,0.872727,48,0.884563
7,Gonzalo Villar,10,9.874046,2,0.678571,0.763158,0.35,0.251633,0.251633,0.048221,2,0,0.955556,43,0.830113
8,Bryan Zaragoza,5,4.898847,3,0.487179,0.578947,0,0.078345,0.078345,0.029733,1,0,1,10,0.264829
9,Miguel Ángel Rubio,7,6.887053,3,0.527778,0.640351,0.4,0.131079,0.13108,0.038106,0,0,0.904762,19,0.437244
11,Bruno Méndez,13,12.721796,3,0.730769,0.833333,11.450974,0.269483,0.269483,0.062933,0,0,0.666667,52,0.892822
12,Óscar Melendo,12,11.661206,2,0.730769,0.815789,5.176732,0.280409,0.280409,0.057093,2,0,0.787879,52,0.927187
14,Raúl Torrente,6,5.902912,3,0.513514,0.614035,0,0.10844,0.108441,0.033864,0,0,1,15,0.362678
15,Facundo Pellistri,7,6.825564,3,0.542857,0.649123,0.6,0.128314,0.128314,0.038208,1,0,0.904762,19,0.430238
16,José Callejón,14,13.681592,2,0.791667,0.868421,14.091017,0.301664,0.301664,0.066391,2,0,0.67033,61,1
17,Kamil Jóźwiak,13,12.711383,2,0.76,0.842105,16.747294,0.263514,0.263514,0.063122,1,0,0.641026,50,0.874938
18,Antonio Puertas,10,9.778032,3,0.59375,0.72807,4.033333,0.195908,0.195907,0.050698,1,0,0.711111,32,0.652193
19,Martin Hongla,13,12.68883,3,0.730769,0.833333,11.450974,0.269483,0.269483,0.062933,0,0,0.666667,52,0.892822
20,Kamil Piątkowski,6,5.89679,3,0.513514,0.614035,0,0.10844,0.108441,0.033864,0,0,1,15,0.362678
21,Álvaro Carreras,14,13.677945,2,0.791667,0.868421,14.091017,0.301664,0.301664,0.066391,2,0,0.67033,61,1
