Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
0,Álex Moreno,14,13.628963,2,0.818182,0.888889,10.522619,0.306841,0.306841,0.069911,2,0,0.692308,63,1
1,Raúl de Tomás,7,6.771046,3,0.5625,0.666667,0.533333,0.144435,0.144435,0.038979,0,0,0.857143,18,0.471846
2,Jordi Amat,11,10.721563,2,0.72,0.805556,17.084524,0.213,0.213,0.061366,2,0,0.636364,35,0.696664
3,Luis Advíncula,14,13.686347,2,0.818182,0.888889,12.452381,0.30318,0.30318,0.070667,2,0,0.67033,61,0.988765
4,Adri Embarba,7,6.850153,3,0.5625,0.666667,0.142857,0.146777,0.146777,0.038932,0,0,0.952381,20,0.479669
5,Abdoulaye Ba,3,2.977471,3,0.45,0.518519,0,0.033326,0.033326,0.024448,1,0,1,3,0.112703
6,Santi Comesaña,11,10.794745,2,0.72,0.805556,2.928571,0.255197,0.255197,0.056976,2,0,0.836364,46,0.831272
7,Óscar Trejo,14,13.70549,3,0.782609,0.87963,7.816667,0.301198,0.301198,0.069898,0,0,0.681319,62,0.981432
9,Giannelli Imbula,12,11.730122,2,0.75,0.833333,5.665476,0.278383,0.278383,0.060659,2,0,0.787879,52,0.906324
10,Álvaro García,8,7.783478,3,0.6,0.703704,0.619048,0.171728,0.171728,0.043344,0,0,0.892857,25,0.561027
12,Álex Gálvez,6,5.844172,3,0.5625,0.648148,3.666667,0.102286,0.102286,0.038973,1,0,0.666667,10,0.337513
13,José Pozo,14,13.667345,3,0.782609,0.87963,7.816667,0.301198,0.301198,0.069898,0,0,0.681319,62,0.981432
14,Emiliano Velázquez,4,3.92036,3,0.5,0.574074,0.625,0.056333,0.056333,0.029524,1,0,0.833333,5,0.187863
15,Bebé,8,7.82249,3,0.6,0.703704,0.619048,0.171728,0.171728,0.043344,0,0,0.892857,25,0.561027
16,Álvaro Medrán,11,10.841431,2,0.72,0.805556,1.170238,0.266496,0.266496,0.055905,2,0,0.890909,49,0.867071
17,Tito,13,12.749832,2,0.782609,0.861111,13.758333,0.27955,0.27955,0.067611,2,0,0.692308,54,0.912201
18,Mario Suárez,10,9.846104,2,0.692308,0.777778,0.416667,0.246779,0.246779,0.051477,2,0,0.955556,43,0.802613
19,Gaël Kakuta,11,10.775911,3,0.692308,0.796296,3.745238,0.239577,0.239577,0.056613,0,0,0.745455,41,0.781615
20,Uche Henry Agbo,10,9.842218,2,0.692308,0.777778,0.416667,0.246779,0.246779,0.051477,2,0,0.955556,43,0.802613
