Id,Label,degree,weighted degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,modularity_class,stat_inf_class
0,Karim Benzema,13,12.711745,0.923077,72,2,0.809524,0.882353,1.192437,0.259901,0.259901,0.05946,0.933004,0,4
1,Casemiro,12,11.699835,0.666667,44,2,0.772727,0.852941,9.069608,0.20242,0.202419,0.06022,0.73219,1,2
2,Sergio Ramos,5,4.900829,0.9,9,3,0.566667,0.637255,0.25,0.067263,0.067263,0.03191,0.247186,1,1
4,Raphaël Varane,4,3.910748,1,6,3,0.548387,0.607843,0,0.047579,0.047579,0.027509,0.176036,1,1
5,Dani Carvajal,16,15.647641,0.683333,82,2,0.944444,0.970588,18.384641,0.277171,0.277171,0.075994,1,1,5
6,Toni Kroos,13,12.773915,0.948718,74,2,0.809524,0.882353,0.444444,0.264077,0.264077,0.059424,0.948984,0,7
7,Luka Modrić,13,12.850115,0.948718,74,2,0.809524,0.882353,0.444444,0.264077,0.264077,0.059424,0.948984,0,7
8,Federico Valverde,13,12.819683,0.948718,74,2,0.809524,0.882353,0.444444,0.264077,0.264077,0.059424,0.948984,0,3
9,Ferland Mendy,15,14.720124,0.752381,79,2,0.894737,0.941176,9.934641,0.27375,0.27375,0.070198,0.986395,1,2
10,Marcelo,14,13.813761,0.879121,80,2,0.85,0.911765,2.187862,0.274456,0.274456,0.063746,0.98624,0,1
11,Isco,13,12.865708,0.948718,74,2,0.809524,0.882353,0.444444,0.264077,0.264077,0.059424,0.948984,0,6
12,Eden Hazard,13,12.750769,0.923077,72,2,0.809524,0.882353,1.192437,0.259901,0.259901,0.05946,0.933004,0,4
13,Vinicius Júnior,7,6.805654,1,21,3,0.566667,0.676471,0,0.144334,0.144334,0.035484,0.517062,0,0
14,Gareth Bale,13,12.811157,0.923077,72,2,0.809524,0.882353,1.192437,0.259901,0.259901,0.05946,0.933004,0,5
15,Rodrygo,13,12.779849,0.923077,72,2,0.809524,0.882353,1.192437,0.259901,0.259901,0.05946,0.933004,0,6
16,Éder Militão,5,4.867787,0.9,9,3,0.566667,0.637255,0.25,0.067263,0.067263,0.03191,0.247186,1,1
17,Lucas Vázquez,14,13.829079,0.879121,80,2,0.85,0.911765,2.187862,0.274456,0.274456,0.063746,0.98624,0,0
18,James Rodríguez,14,13.811096,0.879121,80,2,0.85,0.911765,2.187862,0.274456,0.274456,0.063746,0.98624,0,3
